name,description,stars,language,forks,url,created_at,updated_at,open_issues,default_branch,contributors_count,commits_count,topics,watchers,size,has_wiki,has_projects,has_issues,has_pages,releases_count,language_detected,package.json,package-lock.json,composer.json,composer.lock,vite.config.js,angular.json,tsconfig.json,babel.config.js,postcss.config.js,vue.config.js,category
orkestral/venom,"Venom is a high-performance system developed with JavaScript to create a bot for WhatsApp, support for creating any interaction, such as customer service, media sending, sentence recognition based on artificial intelligence and all types of design architecture for WhatsApp.",6067,JavaScript,1192,https://github.com/orkestral/venom,2020-06-08 04:41:41+00:00,2024-10-12 19:32:54+00:00,46,master,64,2334,"['whatsapp', 'sulla', 'bot', 'whatsapp-api', 'whatsapp-bot', 'zap-api', 'zap-bot', 'ai', 'ai-bot', 'bot-javascript', 'bot-typescript', 'framework', 'chatbot', 'chat', 'message', 'puppeteer', 'venom']",6067,16209,True,True,True,True,112,en,True,True,False,False,False,False,True,False,False,False,Outra Classificação
IBM-Design/ios-animations,"As you pull the code from this repository, get inspired by the IBM Design Language animation guidelines. Remember: thoughtfully applied animation should be straightforward, limited to the most important interactions on the screen and helping users in delightful ways as they interact.",93,Swift,22,https://github.com/IBM-Design/ios-animations,2015-06-16 15:54:48+00:00,2024-06-26 23:31:29+00:00,5,master,3,5,[],93,442,True,True,True,False,0,en,True,False,False,False,False,False,False,False,False,False,Outra Classificação
Luidog/fms-api-client,A FileMaker Server Data API client designed to allow interaction with a FileMaker database from a web environment.,84,JavaScript,26,https://github.com/Luidog/fms-api-client,2018-03-30 14:15:41+00:00,2024-03-19 06:55:27+00:00,32,master,3,586,"['filemaker', 'data-api', 'marpat']",84,4847,True,True,True,True,49,en,True,True,False,False,False,False,False,False,False,False,Outra Classificação
danilucaci/dl-react-redux-firebase-todo-app,"A todo app built with React.js, Redux and Firebase designed and developed with a strong focus on accessibility and user interaction.",36,JavaScript,14,https://github.com/danilucaci/dl-react-redux-firebase-todo-app,2019-12-29 15:00:10+00:00,2024-06-22 09:41:48+00:00,9,master,1,328,"['reactjs', 'react-router', 'redux', 'redu', 'firebase', 'firebase-authentication', 'firebase-functions', 'firebase-firestore', 'formik', 'todoapp', 'reselect', 'personal-project', 'portfolio']",36,2731,False,False,True,False,0,en,True,True,False,False,False,False,False,False,False,False,Outra Classificação
open-source-uom/myuom,"The myUoM app is a project of the Open Software Team of Applied Informatics, University of Macedonia (https://opensource.uom.gr). It was designed to facilitate students' daily interactions with the university.",26,JavaScript,17,https://github.com/open-source-uom/myuom,2023-12-10 16:19:36+00:00,2024-10-10 11:49:01+00:00,15,main,26,682,[],26,6714,True,True,True,False,1,en,True,True,False,False,False,False,False,False,False,False,Outra Classificação
pterodactyl/panel,"Pterodactyl® is a free, open-source game server management panel built with PHP, React, and Go. Designed with security in mind, Pterodactyl runs all game servers in isolated Docker containers while exposing a beautiful and intuitive UI to end users.",6681,PHP,1692,https://github.com/pterodactyl/panel,2015-12-06 18:37:08+00:00,2024-10-12 03:35:20+00:00,339,1.0-develop,165,4637,"['laravel', 'opensource', 'mit', 'docker', 'free', 'tailwindcss', 'react', 'typescript', 'golang', 'games', 'management-system', 'php']",6681,27466,False,False,True,False,124,en,True,False,True,True,False,False,True,True,True,False,Outra Classificação
miurla/babyagi-ui,"BabyAGI UI is designed to make it easier to run and develop with babyagi in a web app, like a ChatGPT.",1313,TypeScript,280,https://github.com/miurla/babyagi-ui,2023-04-20 05:26:13+00:00,2024-10-09 21:24:55+00:00,13,main,10,513,"['babyagi', 'langchain-js', 'nextjs', 'openai-api', 'pinecone', 'radix-ui', 'tailwindcss', 'agent']",1313,2320,True,True,True,False,2,en,True,True,False,False,False,False,True,False,True,False,Outra Classificação
blacksev/Gemini-Next-Web,A well-designed cross-platform Gemini UI (Web / PWA / Linux / Win / MacOS). 一键拥有你自己的跨平台 Gemini 应用。,430,TypeScript,206,https://github.com/blacksev/Gemini-Next-Web,2023-12-22 16:52:17+00:00,2024-10-10 07:25:36+00:00,8,main,144,1641,[],430,8292,False,True,True,False,1,en,True,False,False,False,False,False,True,False,False,False,Outra Classificação
Xyphyn/photon,"A replacement for lemmy-ui with more features, a better design, and more customizability.",370,Svelte,42,https://github.com/Xyphyn/photon,2023-06-24 20:00:33+00:00,2024-10-11 14:23:07+00:00,93,main,30,1927,[],370,4771,False,True,True,False,286,en,True,True,False,False,False,False,True,False,True,False,Outra Classificação
muxlab/map-effects-100,Cool tips to design UI/UX on Leaflet maps.,197,JavaScript,46,https://github.com/muxlab/map-effects-100,2015-11-12 14:31:06+00:00,2024-04-22 18:00:12+00:00,4,gh-pages,3,99,[],197,21900,True,True,True,True,2,en,True,False,False,False,False,False,False,False,False,False,Outra Classificação
kevindeasis/awesome-ui,"An ""Awesome"" curated list but for design (UI & UX) resources. Contains theory, tutorials, books, libraries, and other resources",187,,21,https://github.com/kevindeasis/awesome-ui,2016-04-30 17:07:08+00:00,2024-10-09 03:22:30+00:00,2,master,1,34,[],187,36,True,True,True,False,0,en,True,False,False,False,False,False,False,False,False,False,Outra Classificação
Tailus-UI/blocks,"Easy-to-customize UI components, blocks and templates designed to meet your needs using modern web best practices and tools.",179,CSS,26,https://github.com/Tailus-UI/blocks,2021-12-20 08:09:09+00:00,2024-09-09 16:28:21+00:00,2,main,4,157,"['tailwindcss', 'ui-components', 'ui']",179,25330,True,True,True,False,0,en,True,True,False,False,False,False,False,False,True,False,Outra Classificação
popo-fishes/camelia,Lightweight And Concise，A UI Design,178,TypeScript,13,https://github.com/popo-fishes/camelia,2024-07-27 03:23:44+00:00,2024-09-21 10:13:57+00:00,0,main,1,140,[],178,7697,True,True,True,False,3,en,True,False,False,False,False,False,True,False,False,False,Outra Classificação
