name,description,stars,language,forks,url,created_at,updated_at,open_issues,default_branch,contributors_count,commits_count,topics,watchers,size,has_wiki,has_projects,has_issues,has_pages,releases_count,language_detected,package.json,package-lock.json,composer.json,composer.lock,vite.config.js,angular.json,tsconfig.json,babel.config.js,postcss.config.js,vue.config.js,category
ant-design-blazor/ant-design-blazor,🌈A rich set of enterprise-class UI components based on Ant Design and Blazor.,5772,C#,1051,https://github.com/ant-design-blazor/ant-design-blazor,2019-11-26,2024-10-12,243,master,214,2029,"['blazor', 'ant-design', 'antd', 'dotnet', 'webassembly', 'wasm', 'blazor-webassembly', 'blazor-components', 'ant-design-blazor', 'hacktoberfest', 'blazor-server']",5772,86511,True,True,True,True,109,en,True,True,False,False,False,False,False,False,False,False,Componente UX
yeun/open-color,Color scheme for UI design.,5276,Handlebars,241,https://github.com/yeun/open-color,2016-08-06,2024-10-12,23,master,29,242,"['color', 'color-scheme', 'scss', 'adobe-library', 'swatches', 'stylus']",5276,506,True,False,True,True,11,en,True,True,False,False,False,False,False,False,False,False,Ferramenta UX
arco-design/arco-design,A comprehensive React UI components library based on Arco Design,4901,TypeScript,660,https://github.com/arco-design/arco-design,2021-10-25,2024-10-12,268,main,101,1529,"['react', 'design-system', 'ui', 'customize', 'arco-design', 'ui-library', 'component-library']",4901,17977,True,True,True,False,132,en,True,False,False,False,False,False,True,False,False,False,Componente UX
pinterest/gestalt,A set of React UI components that supports Pinterest’s design language,4243,TypeScript,344,https://github.com/pinterest/gestalt,2018-02-16,2024-10-11,5,master,122,5516,"['javascript', 'react', 'design-system']",4243,60818,False,False,False,True,2505,en,True,False,False,False,False,False,True,True,False,False,Componente UX
zdhxiong/mdui,Material Design 3(Material You) UI components using Web Components.,4146,TypeScript,362,https://github.com/zdhxiong/mdui,2016-07-11,2024-10-12,21,v2,6,402,"['css', 'javascript', 'material', 'material-design', 'material-design-3', 'material-you', 'web-components']",4146,10263,False,True,True,False,21,en,True,False,False,False,False,False,True,False,False,False,Ferramenta UX
JosephusPaye/Keen-UI,"A lightweight Vue.js UI library with a simple API, inspired by Google's Material Design.",4104,JavaScript,438,https://github.com/JosephusPaye/Keen-UI,2016-03-22,2024-10-12,65,next,28,575,"['vue', 'material-design', 'ui', 'components', 'javascript', 'vue3']",4104,10474,False,True,True,True,15,en,True,False,False,False,False,False,False,False,False,False,Componente UX
chakra-ui/zag,"Finite state machines for building accessible design systems and UI components. Works with modern frameworks, and even just Vanilla JS",3974,TypeScript,160,https://github.com/chakra-ui/zag,2021-07-07,2024-10-12,7,main,74,3936,"['react', 'vue', 'solid', 'accessibility', 'ui', 'ui-kit', 'state-machines', 'ui-components', 'xstate', 'headless', 'a11y', 'agnostic', 'design-systems', 'primitives', 'component', 'library', 'universal', 'headlessui', 'svelte', 'sveltejs']",3974,39381,False,True,True,False,7781,en,True,False,False,False,False,False,True,False,False,False,Componente UX
epicmaxco/vuestic-ui,"Vuestic UI is an open-source Vue 3 component library designed for rapid development, easy maintenance, and high accessibility. Maintained by Epicmax (@epicmaxco).",3479,Vue,336,https://github.com/epicmaxco/vuestic-ui,2019-08-03,2024-10-12,504,develop,120,3627,"['vue', 'vuestic', 'ui-kit', 'typescript', 'javascript', 'components', 'vuestic-ui', 'vue3', 'vue-components', 'ui-components', 'semantic', 'accessibility', 'vuejs', 'vuejs3']",3479,39406,False,True,True,True,60,en,True,False,False,False,False,False,False,False,False,False,Componente UX
didi/mand-mobile,"💰 A mobile UI toolkit, based on Vue.js 2, designed for financial scenarios.",3454,Vue,772,https://github.com/didi/mand-mobile,2018-03-23,2024-10-12,77,master,34,1654,"['vue', 'vue-components', 'javascript', 'ui-kit', 'mand-mobile', 'financial']",3454,96289,True,True,True,True,78,en,True,True,False,False,False,False,False,False,True,False,Componente UX
unovue/radix-vue,"Vue port of Radix UI Primitives. An open-source UI component library for building high-quality, accessible design systems and web apps.",3437,Vue,213,https://github.com/unovue/radix-vue,2023-06-22,2024-10-12,88,main,114,1096,"['accessible', 'design-system', 'headless', 'primitives', 'ui', 'ui-kit', 'vue', 'component-library', 'nuxt', 'radix-ui', 'ui-components', 'vue-radix', 'accessibility', 'vue-components', 'vue-component-library']",3437,24645,True,True,True,True,106,en,True,False,False,False,False,False,False,False,False,False,Componente UX
invertase/react-native-material-design,React Native UI Components for Material Design,3151,JavaScript,365,https://github.com/invertase/react-native-material-design,2015-12-11,2024-10-12,86,master,23,182,[],3151,146,True,True,True,False,11,en,True,False,False,False,False,False,False,False,False,False,Componente UX
arco-design/arco-design-vue,A Vue.js 3 UI Library based on Arco Design,2698,TypeScript,529,https://github.com/arco-design/arco-design-vue,2021-10-24,2024-10-10,753,main,113,1814,"['vuejs', 'vue', 'component-library', 'arco-design', 'vue3', 'components', 'design-system', 'ui']",2698,8803,True,True,True,False,137,en,True,False,False,False,False,False,False,False,False,False,Componente UX
alibaba/ChatUI,The UI design language and React library for Conversational UI,2637,TypeScript,280,https://github.com/alibaba/ChatUI,2020-08-04,2024-10-11,27,next,5,292,"['ui', 'chat', 'chatbot', 'react']",2637,682,False,True,True,False,1,en,True,False,False,False,False,False,True,True,True,False,Componente UX
lobehub/sd-webui-lobe-theme,"🅰️ Lobe theme - The modern theme for stable diffusion webui, exquisite interface design, highly customizable UI, and efficiency boosting features.",2401,TypeScript,220,https://github.com/lobehub/sd-webui-lobe-theme,2023-02-25,2024-10-11,93,main,19,601,"['stable-diffusion-webui', 'stable-diffusion-webui-plugin', 'lobehub', 'theme', 'stable-diffusion', 'extension', 'react', 'typescript']",2401,54758,False,True,True,False,110,en,True,False,False,False,False,False,True,False,False,False,Componente UX
radix-ui/design-system,Design system that was used by @modulz. It’s now archived and superceded by Radix Themes. (See https://github.com/radix-ui/themes),2274,TypeScript,177,https://github.com/radix-ui/design-system,2018-07-26,2024-10-11,15,master,18,841,[],2274,6342,True,True,True,False,0,en,True,False,False,False,False,False,True,False,False,False,Ferramenta UX
arielsalminen/vue-design-system,An open source tool for building UI Design Systems with Vue.js,2171,JavaScript,224,https://github.com/arielsalminen/vue-design-system,2017-10-22,2024-10-05,59,master,6,629,"['vuejs', 'design-systems', 'design-system', 'vue-styleguidist', 'components', 'component-library', 'vue']",2171,20807,True,False,True,True,49,en,True,True,False,False,False,False,False,False,False,False,Componente UX
