Plugin,Frequency
vite-plugin-externals,1
@floating-ui/react-dom,1
@floating-ui/react-dom-interactions,1
notistack,2
react-device-detect,2
@types/styled-components,10
esbuild-node-externals,1
esbuild-plugin-svgr,1
esbuild-sass-plugin,4
@chakra-ui/react,9
@emotion/styled,24
typed.js,2
vue-clipboard3,3
vue-count-to,2
vue-prism-editor,4
@rushstack/eslint-patch,3
chokidar-cli,4
rollup-plugin-babel-minify,1
rollup-plugin-buble,5
@compositor/logo,1
babel-preset-react,17
cxs,1
dxs,1
src,1
@github/hotkey,1
@size-limit/preset-big-lib,5
email-validator,1
inline-assets,1
json-form-data,1
parcel-plugin-svelte,1
remarkable,1
remarkable-numl,1
rollup-plugin-svelte,6
@babel/plugin-transform-modules-commonjs,10
@mdi/js,5
@mdi/light-js,1
@mui/material,15
ava,5
lodash.pick,3
react-form-validator-core,1
babel-polyfill,15
com.unity.xr.interaction.toolkit,1
com.unity.textmeshpro,1
@material/material-color-utilities,2
ant-design-vue,1
md5,5
style-inject,2
swiper,3
vue3-colorpicker,1
@babel/plugin-transform-modules-umd,2
@rollup/plugin-strip,3
@types/md5,1
@types/style-inject,1
builtin-modules,5
rollup-plugin-gzip,1
vite-plugin-eslint,2
@workday/canvas-accent-icons-web,1
@workday/canvas-applet-icons-web,1
@workday/canvas-system-icons-web,1
@workday/canvas-tokens-web,1
@cypress/webpack-preprocessor,1
@emotion/eslint-plugin,1
@emotion/is-prop-valid,1
@storybook/components,6
@storybook/source-loader,2
@types/cypress-axe,1
@types/emoji-js,1
@types/markdown-to-jsx,1
@types/stylis,1
common-tags,4
conventional-changelog-conventionalcommits,1
cypress-axe,4
cypress-keyboard-plugin,1
cypress-pipe,1
cypress-storybook,1
cz-conventional-changelog,17
depcheck,5
emoji-js,1
eslint-plugin-react-ssr,1
eslint-plugin-workday-custom-rules,1
expect-type,3
github-markdown-css,1
jest-junit,8
markdown-to-jsx,5
ts-patch,3
@auto-it/npm,1
@auto-it/omit-commits,1
@auto-it/released,2
@bolt/testing-utils,1
@open-wc/testing-helpers,2
@slack/webhook,1
auto,2
ci-utils,1
conf,1
find-pkg,1
github-deploy-status,1
jsonwebtoken,8
lit-element,2
lit-html,2
sort-package-json,6
@angular-material-extensions/pages,1
@angular/flex-layout,1
@angular/material,3
ngx-clipboard,2
ngx-highlightjs,2
ngx-markdown,2
@angular-devkit/build-ng-packagr,1
@types/express,11
karma-coverage-istanbul-reporter,5
@nrwl/cli,2
@nrwl/nx-cloud,3
@nrwl/tao,2
@nrwl/workspace,3
@storybook/storybook-deployer,2
@stylistic/eslint-plugin,4
@vitest/coverage-istanbul,3
eslint-plugin-prefer-object-spread,2
eslint-plugin-vitest,1
happy-dom,13
mermaid,3
rollup-plugin-typescript-paths,1
vite-plugin-node-polyfills,2
vite-tsconfig-paths,9
vitepress,3
vitepress-plugin-mermaid,1
vitest-github-actions-reporter,1
component-classes,1
create-react-class,4
css-animation,1
dom-closest,1
echarts,8
echarts-for-react,2
enquire.js,1
intersperse,1
is-negative-zero,1
mini-store,1
omit.js,1
raf,8
rc-animate,1
rc-trigger,1
react-dom-factories,1
react-lazy-load,2
react-lifecycles-compat,4
react-slick,5
rmc-feedback,1
video.js,2
@babel/plugin-proposal-do-expressions,2
@babel/plugin-proposal-function-sent,2
@babel/plugin-proposal-json-strings,1
@babel/plugin-proposal-logical-assignment-operators,2
@babel/plugin-proposal-nullish-coalescing-operator,7
@babel/plugin-proposal-numeric-separator,1
@babel/plugin-proposal-pipeline-operator,3
@babel/plugin-proposal-throw-expressions,3
@babel/plugin-syntax-import-meta,2
@types/video.js,1
@wojtekmaj/enzyme-adapter-react-17,7
babel-standalone,1
codemirror,6
create-react-context,1
fork-ts-checker-webpack-plugin,3
lottie-web,1
react-hot-loader,8
react-reconciler,2
react-router,19
react-svg-loader,1
report-url,1
request,4
webpack-stream,2
webpack5,1
babel-plugin-transform-decorators-legacy,11
jest-vue-preprocessor,1
react-native-flex-layout,1
react-native-window-size,1
pod-install,10
chartist,3
daterangepicker,2
flag-icon-css,2
perfect-scrollbar,3
progressbar.js,2
pwstabs,1
select2,2
select2-bootstrap-theme,1
simple-line-icons,2
twbs-pagination,1
typeahead.js,2
compass-mixins,2
gulp-concat,10
gulp-htmlmin,4
gulp-inject,2
gulp-inject-partials,2
gulp-notify,3
gulp-plumber,8
gulp-prettify,2
merge-stream,5
minimatch,8
require-dir,2
run-sequence,4
proxy-agent,1
@semantic-release/changelog,9
@semantic-release/exec,5
@semantic-release/git,13
aws-sdk,4
git-url-parse,1
mime,4
semantic-release-monorepo,2
webex,1
jshint,5
@cerner/browserslist-config-terra,1
@cerner/eslint-config-terra,1
@cerner/jest-config-terra,1
@cerner/package-json-lint,1
@cerner/package-json-lint-config-terra,1
@cerner/stylelint-config-terra,1
@cerner/terra-aggregate-translations,1
@cerner/terra-cli,1
@cerner/terra-dev-site,1
@cerner/terra-functional-testing,1
@cerner/terra-open-source-scripts,1
@cerner/webpack-config-terra,1
danger,4
terra-enzyme-intl,1
react-jss,2
react-burger-menu,1
react-svg-line-chart,1
simple-flexbox,1
react-collapsible-content,1
@mdx-js/runtime,1
disqus-react,1
prism-react-renderer,5
react-ga,3
theme-ui,1
@react-native-async-storage/async-storage,8
@react-native-masked-view/masked-view,2
@react-navigation/drawer,9
@react-navigation/native,20
@react-navigation/stack,14
expo,14
expo-blur,3
expo-constants,4
expo-haptics,2
expo-linear-gradient,5
expo-localization,4
expo-modules-core,2
expo-splash-screen,4
expo-status-bar,6
i18n-js,4
react-native-keyboard-aware-scroll-view,2
react-native-pager-view,2
react-native-safe-area-context,20
react-native-screens,18
react-native-web,11
@types/i18n-js,4
jest-expo,5
libphonenumber-js,2
@storybook/react-vite,7
@viclafouch/eslint-config-viclafouch,1
rollup-plugin-peer-deps-external,7
standard-version,15
vite-aliases,1
@angular/http,3
angular-font-awesome,1
rxjs-tslint,1
tsickle,1
tslint-sonarts,1
@compodoc/gulp-compodoc,1
angular2-template-loader,1
awesome-typescript-loader,4
commitplease,1
conventional-github-releaser,2
greenkeeper-lockfile,1
gulp-bump,2
gulp-conventional-changelog,1
gulp-coveralls,1
gulp-git,1
gulp-hub,1
gulp-inline-ng2-template,1
gulp-tslint,1
install,3
istanbul-instrumenter-loader,3
karma-cli,3
karma-mocha-reporter,8
karma-remap-coverage,1
npm,5
postcss-strip-inline-comments,1
pump,1
source-map-loader,7
to-string-loader,1
travis-status,1
nouislider,7
smooth-scrollbar,1
vanillajs-datepicker,2
gulp-compile-handlebars,1
gulp-if,7
gulp-imagemin,3
gulp-npm-dist,3
gulp-terser,3
gulp-wait,2
handlebars-layouts,1
@tonic-ui/changelog-github,1
@amap/amap-jsapi-loader,1
@amap/amap-jsapi-types,1
@ant-design/icons-svg,1
@nrwl/eslint-plugin-nx,2
@nrwl/jest,1
@nrwl/linter,2
@nrwl/react,1
@nrwl/web,1
@types/inquirer,4
@types/vscode,1
@types/yaml-front-matter,1
axios-mock-adapter,5
colors,6
is-builtin-module,1
jsurl,1
nx,13
postcss-html,6
postcss-markdown,2
rcl-store,1
rfs,1
rxjs-for-await,1
stylelint-config-recess-order,2
table,2
find-unused-sass-variables,1
purgecss,1
replace-in-file,6
stylelint-config-prettier-scss,4
stylelint-config-standard-scss,7
stylelint-config-twbs-bootstrap,1
babel-preset-stage-0,16
isparta,3
mocha,39
@esm-bundle/chai,2
@web/dev-server,2
microbundle,5
preact,6
three,7
vuepress,3
vuepress-plugin-demo-container,1
vuepress-plugin-plausible,1
@libsql/client,2
cors,8
leaflet,4
react-alice-carousel,2
react-google-recaptcha,3
react-icons,19
react-lazy-load-image-component,2
react-leaflet,1
react-paginate,2
react-parallax-tilt,2
web-vitals,13
@fortawesome/free-solid-svg-icons,9
@fortawesome/react-fontawesome,6
react-youtube,1
@next/font,1
gsap,5
standard,4
@semantic-release/commit-analyzer,3
@semantic-release/github,4
@semantic-release/npm,4
@semantic-release/release-notes-generator,2
@types/license-checker,2
git-conventional-commits,1
license-checker,2
oss-attribution-generator,1
@lwc/eslint-plugin-lwc,2
@prettier/plugin-xml,3
@sa11y/jest,2
@salesforce/eslint-config-lwc,2
@salesforce/eslint-plugin-aura,2
@salesforce/eslint-plugin-lightning,2
@salesforce/sfdx-lwc-jest,2
prettier-plugin-apex,2
dotenv-cli,7
@pmmmwh/react-refresh-webpack-plugin,6
@successtar/react-reveal,1
clean-webpack-plugin,11
content-security-policy-builder,1
dateformat,2
es-check,1
filesize,5
fuse.js,10
generator-scrivito,1
hash-wasm,2
history,11
is-empty,1
jsontoxml,1
moment-from-now,1
react-bootstrap,5
react-helmet-async,2
react-refresh,7
scrivito,1
scroll-to-fragment,1
slick-carousel,2
speakingurl,1
use-resize-observer,1
webpack-manifest-plugin,3
zip-webpack-plugin,1
gulp-better-rollup,1
gulp-changed,3
gulp-eslint-new,1
gulp-inject-string,2
gulp-sass-glob,1
gulp-sitemap,1
gulp-stylelint,1
gulp-surge,1
gulp-zip,3
handlebars-helpers,1
jstransformer-handlebars,1
metalsmith,2
metalsmith-collections,1
metalsmith-data-loader,1
metalsmith-debug-ui,1
metalsmith-discover-helpers,1
metalsmith-discover-partials,1
metalsmith-dynamic-collections,1
metalsmith-ignore,1
metalsmith-in-place,1
metalsmith-layouts,1
metalsmith-register-helpers,1
postcss-normalize,1
redrun,2
stylelint-config-sass-guidelines,3
stylelint-declaration-use-variable,1
imagesloaded,2
locomotive-scroll,1
splitting,1
vite-plugin-svgr,2
@types/history,2
@types/imagesloaded,1
@react/collection-view,1
@react/react-spectrum,1
babel-plugin-transform-react-remove-prop-types,9
eslint-import-resolver-alias,5
prettier-loader,1
@11ty/eleventy-img,1
@uswds/uswds,1
luxon,3
markdown-it-footnote,1
netlify-cms,2
@11ty/eleventy-navigation,1
@11ty/eleventy-plugin-rss,1
@11ty/eleventy-plugin-syntaxhighlight,3
check-html-links,1
eleventy-plugin-svg-sprite,1
html-validate,1
js-yaml,13
markdown-it-attrs,1
netlify-cms-proxy-server,1
pa11y-ci,1
babel-plugin-jsx-dom-expressions,1
dom-expressions,1
hyper-dom-expressions,1
lit-dom-expressions,1
ncp,5
seroval,1
symlink-dir,2
tsconfig-replace-paths,1
eslint-config-quasar,1
babel-plugin-inferno,1
cli-table,1
concat-stream,2
coveralls-next,1
d3-scale-chromatic,1
eslint-config-standard-with-typescript,3
gzip-size,4
jest-jasmine2,2
jest-silent-reporter,1
mobx,12
perf-monitor,1
swc,1
swc-loader,2
swc-plugin-inferno,1
ts-plugin-inferno,1
rollup-plugin-eslint,3
@nextjournal/lang-clojure,1
karma-cljs-test,1
karma-puppeteer-launcher,1
shadow-cljs,1
@docker/extension-api-client-types,1
@kubernetes/client-node,1
@segment/analytics-node,1
@types/stream-json,1
@types/winreg,1
check-disk-space,1
chokidar,12
date.js,1
dockerode,1
electron-context-menu,2
electron-updater,5
electron-util,1
getos,1
got,3
hpagent,2
os-locale,1
stream-json,2
sudo-prompt,1
undici,2
win-ca,1
winreg,1
yaml,5
@electron/fuses,1
@eslint/compat,5
@podman-desktop/api,1
@tsconfig/strictest,1
@types/dockerode,1
@types/getos,1
@types/js-yaml,4
@types/tar-fs,2
@types/validator,4
@vitest/eslint-plugin,3
dts-for-context-bridge,1
electron,18
electron-builder,12
electron-builder-notarize,1
electron-devtools-installer,5
eslint-import-resolver-custom-alias,1
eslint-plugin-etc,1
eslint-plugin-file-progress,1
eslint-plugin-no-null,1
eslint-plugin-redundant-undefined,2
eslint-plugin-sonarjs,3
eslint-plugin-unicorn,4
fzstd,1
nock,6
proxy,2
typescript-eslint,8
validator,4
xvfb-maybe,2
teston,1
@types/he,1
eslint-plugin-filenames,2
happy-conventional-commit,1
brace,3
react-ace,3
react-document-title,2
react-hotkeys,1
react-modal,3
react-notification-system,1
react-router-redux,3
react-textarea-autosize,1
react-widgets,1
react-widgets-moment,1
redux-logger,11
simplemde,1
sortablejs,6
underscore,4
bundlesize,4
moment-locales-webpack-plugin,1
react-addons-test-utils,6
react-app-rewire-webpack-bundle-analyzer,1
react-app-rewired,2
redux-immutable-state-invariant,1
redux-mock-store,5
@react-three/eslint-plugin,1
@react-three/fiber,2
@types/chai,9
@types/chai-as-promised,3
@types/three,1
chai-as-promised,3
json,2
typescript-json-schema,1
@sveltejs/adapter-auto,3
@testing-library/svelte,3
axe-playwright,3
jest-dom,2
gulp-copy,2
gulp-minify,1
@wdio/devtools-service,1
copy-and-watch,1
nps,4
vite-plugin-checker,2
wsrun,2
yarnhook,2
asciitree,1
jison,1
preprocessor,1
testem,1
detect-indent,1
fuzzysort,1
obsidian,6
@fortawesome/fontawesome-svg-core,8
@fortawesome/vue-fontawesome,2
element-ui,5
msgpack5,2
vue-electron,1
vue-progressbar,2
vuex-electron,1
ajv,6
babel-minify-webpack-plugin,1
cfonts,1
devtron,2
electron-debug,4
listr,1
node-loader,2
vue-html-loader,5
eslint-webpack-plugin,3
glob-all,2
purgecss-webpack-plugin,1
reachable-url,1
ejs,7
template-ejs-loader,1
dyo,1
esm,3
rollup-plugin-size,3
@vue/cli-plugin-babel,11
@vue/cli-plugin-unit-jest,6
@vue/cli-service,10
@vue/eslint-config-standard,6
@vue/vue2-jest,3
jsdom-global,5
cuid,1
dift,1
dom-delegator,1
ev-store,1
global,2
individual,1
is-observable,1
parse-tag,1
babel-plugin-transform-flow-comments,1
flow-bin,22
karma-chai,2
karma-growl-reporter,1
karma-mocha,14
daisyui,5
@types/sinon,6
@headlessui/react,4
@prisma/client,4
jodit-react,1
prisma,5
sweetalert2,3
sweetalert2-react-content,1
html2json,1
babel-plugin-conditional-compile,1
babel-plugin-minify-constant-folding,1
babel-plugin-minify-dead-code-elimination,3
babel-plugin-minify-flip-comparisons,1
babel-plugin-minify-guarded-expressions,1
babel-plugin-minify-infinity,1
babel-plugin-minify-mangle-names,1
babel-plugin-minify-replace,1
babel-plugin-minify-simplify,1
babel-plugin-minify-type-constructors,1
babel-plugin-transform-member-expression-literals,1
babel-plugin-transform-merge-sibling-variables,1
babel-plugin-transform-minify-booleans,1
babel-plugin-transform-property-literals,1
babel-plugin-transform-simplify-comparison-operators,1
babel-plugin-transform-undefined-to-void,1
google-closure-compiler,5
@typescript-eslint/eslint-plugin-tslint,1
@monaco-editor/loader,1
accounting,1
crypto-js,6
echarts-wordcloud,2
element-plus,2
html2canvas,2
js-cookie,7
mockjs,2
naive-ui,3
particles.vue3,1
shortid,1
tsparticles,1
vue-echarts,1
@types/accounting,1
@types/crypto-js,2
@types/mockjs,1
@types/shortid,1
@vue/component-compiler-utils,2
@vue/runtime-core,3
postcss-scss,7
unplugin-element-plus,3
vite-plugin-plain-text,1
array-move,2
@codemirror/autocomplete,1
@codemirror/commands,1
@codemirror/lang-css,1
@codemirror/lang-html,1
@codemirror/language,1
@codemirror/lint,1
@codemirror/search,1
@codemirror/state,2
@codemirror/view,2
codemirror6-themes,1
esbuild-plugin-alias,2
@apollo/client,2
@juggle/resize-observer,3
@neo4j-cypher/antlr4,1
@neo4j-cypher/editor-support,1
@neo4j-cypher/extract-statements,1
@neo4j-devtools/word-color,1
@neo4j-ndl/base,1
@neo4j-ndl/react,1
@neo4j/browser-lambda-parser,1
@sentry/integrations,2
@sentry/react,4
@sentry/tracing,5
apollo-upload-client,1
ascii-data-table,1
canvg,1
d3-color,1
d3-drag,1
d3-ease,1
d3-force,1
d3-scale,3
d3-selection,4
d3-shape,5
d3-transition,1
d3-zoom,1
file-saver,7
graphql,4
jsonic,1
jszip,8
neo4j-client-sso,1
neo4j-driver,1
neo4j-driver-core,1
react-suber,1
react-svg-inline,1
react-table,2
react-timeago,1
redux-observable,2
semantic-ui-react,3
suber,1
whatwg-url,1
@babel/plugin-transform-regenerator,2
@hot-loader/react-dom,1
@types/apollo-upload-client,1
@types/d3-color,1
@types/d3-drag,1
@types/d3-ease,1
@types/d3-force,1
@types/d3-scale,3
@types/d3-selection,2
@types/d3-shape,4
@types/d3-transition,1
@types/d3-zoom,1
@types/dateformat,1
@types/file-saver,1
@types/jsonic,1
@types/react-svg-inline,1
@types/react-table,1
@types/redux-mock-store,1
@types/whatwg-url,1
babel-plugin-dynamic-import-node,6
babel-plugin-module-resolver,14
eslint-plugin-jsx,1
fork-ts-checker-notifier-webpack-plugin,1
js2xmlparser,1
json-loader,13
precss,1
prettier-eslint,4
prettier-eslint-cli,3
typescript-plugin-styled-components,1
worker-loader,1
devicons-react,2
@headlessui/vue,2
@heroicons/vue,2
@inertiajs/vue3,1
@vue/server-renderer,4
@vueuse/components,3
country-code-emoji,1
floating-vue,3
laravel-vite-plugin,2
mitt,6
momentum-modal,1
os,2
path,6
postcss-nesting,4
twemoji,1
unplugin-auto-import,4
unplugin-vue-components,5
unplugin-vue-define-options,1
vite-plugin-watch,1
vue-select,2
vue-toastification,2
vue3-tabs-component,1
ziggy-js,1
@meforma/vue-toaster,1
custom-electron-titlebar,1
lowdb,1
pretty-bytes,5
redis,1
splitpanes,1
ssh2,2
vue-json-pretty,1
vue-universal-modal,1
vue3-shortkey,1
@types/electron-devtools-installer,1
@types/splitpanes,1
@types/ssh2,2
@types/node_redis,1
nano-staged,2
kefir,1
gulp-closure-compiler,2
gulp-download,1
gulp-file-parser,1
gulp-flowcheck,1
gulp-front-matter,1
gulp-gzip,1
gulp-layout,1
gulp-markdown,1
gulp-size,2
gulp-watch,2
karma-nyan-reporter,1
rollup-plugin-strip-banner,3
async,3
babel,6
brfs,1
clone,1
escodegen,2
esprima,2
estraverse,2
famous,1
lodash.assign,1
lodash.clone,2
lodash.defaults,1
lodash.filter,1
lodash.find,2
lodash.first,1
lodash.foreach,1
lodash.last,1
lodash.map,2
lodash.pairs,1
lodash.uniq,1
pubsub-js,1
recursive-readdir,2
watchify,1
jsdoc,3
smokestack,1
tap-closer,1
tape,5
@solid-primitives/event-listener,1
@solid-primitives/keyed,1
@solid-primitives/props,1
@solid-primitives/utils,1
@types/testing-library__jest-dom,10
eslint-plugin-solid,1
solid-testing-library,1
base-64,1
body-parser,9
bson,1
connect-gzip-static,1
mongodb,1
openai,4
minifier,1
uglify-js,13
content-disposition,2
figures,1
ink,1
ink-spinner,1
ink-text-input,1
meow,1
@types/content-disposition,2
@types/node-fetch,2
pkg,1
react-devtools,5
multer,6
@carbon/import-once,1
invariant,6
react-popper-tooltip,1
storybook-addon-designs,1
window-or-global,1
@babel/plugin-syntax-export-default-from,1
@storybook/addon-backgrounds,1
@storybook/addon-controls,5
@storybook/addon-cssresources,1
@storybook/addon-docs,11
@storybook/addons,5
@storybook/builder-webpack5,7
@storybook/theming,9
@tippy.js/react,1
@wfp/icons,1
add,4
babel-plugin-dev-expression,3
browserslist-config-carbon,1
fast-sass-loader,1
final-form,1
flexboxgrid,2
generic-names,1
lodash.omit,4
object-assign,6
pretty,3
promise,4
react-dates,1
react-final-form,1
react-prism,1
react-select,3
react-toastify,2
react-truncate,1
redux-form,4
redux-form-website-template,1
requestanimationframe,1
semantic-release-ado,1
story-description-loader,1
twig,1
validate-commit-msg,2
wcag-contrast,1
whatwg-fetch,5
react-native-multi-selectbox,1
@angular/localize,3
@fortawesome/angular-fontawesome,1
@fortawesome/free-brands-svg-icons,5
@ng-bootstrap/ng-bootstrap,3
@scarf/scarf,1
ng-jhipster,1
ngx-cookie,1
ngx-webstorage,1
swagger-ui-dist,2
@openapitools/openapi-generator-cli,1
@types/echarts,1
browser-sync-webpack-plugin,2
generator-jhipster,1
jest-preset-angular,1
jest-sonar-reporter,1
mem-fs,1
prettier-plugin-java,1
webpack-notifier,1
workbox-webpack-plugin,2
@storybook/core-events,2
@chromatic-com/storybook,3
@jsdevtools/npm-publish,1
@nx/devkit,3
@nx/eslint,3
@nx/eslint-plugin,4
@nx/js,4
@nx/plugin,3
@nx/react,2
@nx/web,2
@sap-theming/theming-base-content,1
@storybook/csf-tools,1
@storybook/html,3
@storybook/html-vite,1
@storybook/icons,2
@storybook/manager-api,7
@storybook/preview-api,5
conventional-changelog,4
conventional-changelog-angular,2
conventional-recommended-bump,2
git-semver-tags,1
jsonc-eslint-parser,3
nx-stylelint,1
postcss-banner,1
postcss-normalize-charset,1
tocbot,2
vitest-axe,3
@pdf-lib/fontkit,1
docxtemplater,1
excel4node,1
imagemin,1
jimp,3
libreoffice-convert,1
mammoth,1
officegen,1
pdf-image,1
pdf-img-convert-web,1
pdf-lib,1
pdf-parse,1
pdf-watermark,1
pdf2json,1
pdf2pic,2
pdf2table,1
pdfjs-dist,3
pdfmake,1
xhr2,1
zlib,1
@arkweid/lefthook,2
nodejs-helm,1
semantic-ui-css,3
electron-packager,2
postcss-nested,3
@types/color,5
@types/jspdf,1
@types/lz-string,2
@types/pdfjs-dist,1
jspdf,4
@fluentui/merge-styles,1
@nx/jest,4
@nx/storybook,1
@nx/vite,1
@storybook/core-server,2
@storybook/test-runner,5
@swc/helpers,2
toposort,1
@ngrx/core,1
@ngrx/store,2
angular-calendar,1
angular2-toaster,1
cordova-android,1
cordova-browser,1
cordova-plugin-whitelist,1
highcharts,1
intl,2
lodash.flatten,1
lodash.isnumber,1
lodash.random,1
lodash.times,1
lodash.values,1
ngx-toggle-switch,1
ngx-ui-switch,2
realtime-document,1
response-type,1
sails.io.js,1
simplebar,2
socket.io-client,5
url-matcher,1
yamljs,2
@angularclass/hmr,1
@types/colors,1
sass-material-colors,1
redux-promise,1
rusty-secrets,1
asar,1
babel-plugin-add-module-exports,8
babel-plugin-webpack-loaders,1
babel-preset-react-hmre,3
co-mocha,1
dirty-chai,2
electron-build-env,2
electron-mocha,1
enzyme-adapter-react-15,1
hoek,1
mockery,2
neon-cli,1
spectron,2
webpack-target-electron-renderer,1
eslint-config-base,2
npkill,1
howler,3
@types/howler,1
vite-svg-loader,4
@noble/curves,1
i,1
pane-registry,1
solid-logic,1
solid-namespace,1
@babel/plugin-transform-async-to-generator,3
@storybook/manager-webpack5,6
get-random-values,1
ovrui,1
react-vr,1
react-vr-web,1
babel-preset-react-native,20
eslint-config-rallycoding,1
xopen,1
@fext/vue-form-builder,1
@fext/vue-use,1
@vue/composition-api,3
json2csv,2
vee-validate,1
vuex-router-sync,3
@vue/cli-plugin-router,4
@vue/cli-plugin-vuex,3
@kolkov/ngx-gallery,1
@ng-dynamic-forms/core,1
@ng-dynamic-forms/ui-ng-bootstrap,1
@ngrx/effects,1
@ngrx/router-store,1
@nicky-lenaers/ngx-scroll-to,1
angulartics2,1
cerialize,1
compression,6
cookie-parser,7
date-fns-tz,3
express-rate-limit,4
fast-json-patch,2
http-terminator,1
isbot,2
jsonschema,2
jwt-decode,6
klaro,1
lru-cache,3
mirador,1
mirador-dl-plugin,1
mirador-share-plugin,1
morgan,7
ng2-file-upload,1
ng2-nouislider,1
ngx-pagination,1
pem,1
reflect-metadata,8
@angular-eslint/bundled-angular-compiler,1
@angular-eslint/utils,1
@cypress/schematic,1
@ngrx/store-devtools,1
@ngtools/webpack,2
@types/deep-freeze,1
@types/ejs,3
@types/grecaptcha,1
@types/js-cookie,1
@typescript-eslint/rule-tester,2
deep-freeze,1
eslint-plugin-deprecation,2
eslint-plugin-dspace-angular-html,1
eslint-plugin-dspace-angular-ts,1
eslint-plugin-import-newlines,1
eslint-plugin-jsonc,2
eslint-plugin-lodash,1
express-static-gzip,2
ng-mocks,1
ngx-mask,1
bcryptjs,3
evergreen-ui,1
fuzzaldrin-plus,2
omgopass,1
react-countdown-circle-timer,1
webextension-polyfill,1
@craco/craco,2
release-it-update-manifest-plugin,1
sign-addon,1
web-ext,1
eventemitter2,1
load-json-file,1
serialize-javascript,3
write-json-file,1
cache-loader,1
xo,2
gun,1
fontfaceobserver,2
wikimedia-ui-base,1
@lodder/grunt-postcss,2
browserslist-config-wikimedia,1
eslint-config-wikimedia,2
grunt,7
grunt-contrib-concat,4
grunt-contrib-uglify,3
grunt-contrib-watch,7
grunt-eslint,1
grunt-exec,2
grunt-replace,2
grunt-stylelint,1
pixrem,1
postcss-cssnext,1
postcss-custom-properties,3
stylelint-config-wikimedia,2
@fontsource-variable/roboto-mono,1
@splidejs/splide,1
fancy-canvas,1
nextjs13-router-events,1
nookies,1
react-swipeable,1
use-elapsed-time,1
@babel/plugin-transform-block-scoping,2
@babel/plugin-transform-class-properties,3
@babel/plugin-transform-object-rest-spread,2
@fontsource-variable/instrument-sans,1
@jest/globals,2
@mapbox/rehype-prism,1
@next/bundle-analyzer,5
@styled-jsx/plugin-sass,1
@svgr/cli,1
@use-gesture/react,4
babel-plugin-transform-rename-import,3
babel-plugin-tsconfig-paths-module-resolver,2
clean-package,1
dts-bundle-generator,2
eslint-config-ts-lambdas,2
eslint-plugin-mdx,4
extract-mdx-metadata,1
readline,1
rehype-join-line,1
remark-mdx,2
rollup-plugin-local-resolve,2
strip-markdown,1
styled-jsx,1
styled-jsx-plugin-sass,1
ts-transformer-properties-rename,1
ts-transformer-strip-const-enums,1
tslint-to-eslint-config,1
ttsc,1
typedoc-json-parser,1
typescript-transform-paths,1
usehooks-ts,2
@capacitor/android,1
@capacitor/cli,2
@capacitor/core,2
@capacitor/ios,1
@ethersproject/providers,1
@formatjs/intl-pluralrules,2
@formatjs/intl-relativetimeformat,1
@ionic/cli,1
@openware/cryptofont,1
@sentry/browser,1
@types/compression-webpack-plugin,1
@types/react-select,1
@types/ws,2
@web3-react/core,1
@web3-react/injected-connector,1
bitcoincashjs,1
http-signature,1
i18n-iso-countries,1
javascript-obfuscator,1
react-date-picker,1
react-fade-in,1
react-grid-layout,1
react-maskinput,1
react-perfect-scrollbar,2
react-scroll,3
redux-saga,2
redux-sentry-middleware,1
ua-parser-js,2
ws,4
@openware/coding-standards,1
@types/axios,1
@types/enzyme-adapter-react-16,6
@types/react-hot-loader,1
@types/react-router,1
@types/webpack-env,6
cryptocurrency-icons,1
header-case-normalizer,1
isomorphic-ws,1
js-combinatorics,1
postcss-autoreset,1
postcss-hexrgba,1
ramda,3
source-map-explorer,1
tslint-plugin-prettier,1
webpack-obfuscator,1
@craftzdog/react-native-buffer,1
@gorhom/bottom-sheet,3
@liskhq/lisk-client,1
@react-native-camera-roll/camera-roll,1
@react-native-clipboard/clipboard,2
@react-native-community/art,1
@react-native-community/netinfo,6
@react-navigation/bottom-tabs,12
@react-navigation/compat,1
@tanstack/react-query,6
@tradle/react-native-http,1
@walletconnect/react-native-compat,1
@walletconnect/sign-client,1
@walletconnect/utils,1
assert,3
await-to-js,1
bignumber.js,2
browserify-zlib,1
buffer,3
fbjs,3
hoist-non-react-statics,16
lottie-ios,2
lottie-react-native,4
mobile-protect,1
querystring-es3,2
react-native-app-settings,1
react-native-background-timer,1
react-native-blur-overlay,1
react-native-camera,1
react-native-device-info,5
react-native-document-picker,2
react-native-fingerprint-scanner,1
react-native-fs,4
react-native-get-random-values,3
react-native-haptic-feedback,3
react-native-image-picker,3
react-native-interactable,1
react-native-keyboard-tracking-view,1
react-native-keychain,2
react-native-level-fs,1
react-native-linear-gradient,3
react-native-os,1
react-native-permissions,3
react-native-pie-chart,1
react-native-qrcode-svg,2
react-native-screenshot-prevent,1
react-native-shake,1
react-native-share,1
react-native-ssl-pinning,1
react-native-tcp,1
react-native-toast-message,1
react-native-udp,1
react-native-url-polyfill,2
react-native-wasm,1
react-native-webview,3
readable-stream,2
redux-connect-decorator,1
redux-devtools-extension,4
rn-qr-generator,2
string_decoder,1
text-encoding,1
timers-browserify,1
url,2
url-parse,4
util,3
yup,9
@babel/plugin-transform-react-jsx-source,1
@babel/preset-stage-2,1
@testing-library/jest-native,2
@testing-library/react-native,10
babel-plugin-rewrite-require,1
babel-plugin-transform-class-properties,8
babel-plugin-transform-decorators,2
console-browserify,1
constants-browserify,1
detox,5
dns.js,1
domain-browser,1
events,4
findit,1
