Plugin,Frequency
@commitlint/config-conventional,84
@rollup/plugin-babel,36
@types/compression,1
@types/koa,1
@types/lodash-es,10
@types/lru-cache,1
@types/markdown-it,3
@types/postcss-load-config,1
@vitejs/plugin-legacy,2
@vitejs/plugin-vue,31
@vitejs/plugin-vue-jsx,7
@vue/babel-plugin-jsx,2
@vue/cli-plugin-eslint,11
@vue/eslint-config-prettier,10
@vue/eslint-config-typescript,12
@vue/test-utils,27
@vue/vue3-jest,3
@vueuse/core,11
@webpack-cli/serve,1
acorn,6
babel-loader,103
babel-plugin-import,5
babel-plugin-inline-import-data-uri,1
babel-plugin-istanbul,12
babel-plugin-transform-require-context,3
case-sensitive-paths-webpack-plugin,6
codecov,13
codesandbox,8
colorful,1
commander,15
compare-versions,5
css-loader,77
css-minimizer-webpack-plugin,8
cz-git,2
date-fns,32
diacritics,2
docsearch.js,2
duplicate-package-checker-webpack-plugin,1
enquire-js,2
esbuild-loader,3
escape-html,5
eslint-config-prettier,160
eslint-plugin-html,18
eslint-plugin-import,158
eslint-plugin-markdown,9
eslint-plugin-no-explicit-type-exports,1
eslint-plugin-prettier,119
eslint-plugin-vue,45
globby,12
gray-matter,9
gulp-babel,9
gulp-strip-code,1
gulp-typescript,9
html-webpack-plugin,55
ignore-emit-webpack-plugin,1
is-windows,1
jest-serializer-vue,6
jest-transform-stub,4
js-base64,3
json-templater,2
jsonp,1
less,31
less-loader,16
less-plugin-npm-import,5
less-vars-to-js,3
majo,1
markdown-it,12
markdown-it-anchor,6
markdown-it-container,6
markdown-it-emoji,2
markdown-it-table-of-contents,1
marked,20
merge2,3
mini-css-extract-plugin,29
mkdirp,20
moment,37
postcss,100
postcss-loader,37
pretty-quick,22
progress,3
raw-loader,19
remark-frontmatter,5
remark-parse,4
remark-stringify,2
remark-yaml-config,1
remove-files-webpack-plugin,1
reqwest,1
selenium-server,3
slash,3
string-replace-loader,2
stylelint-config-prettier,13
stylelint-config-rational-order,5
stylelint-declaration-block-no-ignored-properties,2
stylelint-order,9
terser-webpack-plugin,25
through2,12
tinycolor2,15
ts-loader,30
umi-request,1
unified,4
url-loader,42
vite,79
vue,79
vue-clipboard2,1
vue-drag-resize,1
vue-eslint-parser,7
vue-i18n,15
vue-infinite-scroll,1
vue-loader,33
vue-request,1
vue-router,54
vue-style-loader,22
vue-tsc,17
vuex,13
webpack-cli,65
webpack-dev-server,63
webpack-merge,33
webpackbar,6
@babel/traverse,5
@babel/types,9
@documentalist/compiler,1
@types/babel__traverse,3
@types/glob,8
@types/jasmine,18
@types/resize-observer-browser,5
@types/resolve,1
babel-core,66
babel-plugin-transform-object-assign,3
babel-preset-env,25
babel-traverse,1
babel-types,2
camel-case,1
conventional-changelog-cli,24
core-js,42
cp-file,1
del,29
dts-bundle,2
eslint-config-google,5
eslint-plugin-mocha,2
fs-readdir-recursive,2
gts,2
jasmine,8
jasmine-core,21
karma,34
karma-babel-preprocessor,1
karma-chrome-launcher,28
karma-firefox-launcher,8
karma-jasmine,18
karma-sauce-launcher,2
karma-sourcemap-loader,13
karma-tap,2
karma-typescript,1
karma-webpack,15
recast,2
resolve,3
stylelint-prettier,4
stylelint-scss,15
stylelint-selector-bem-pattern,1
to-slug-case,1
ts-node,61
tslint,17
uglifyjs-webpack-plugin,7
@stitches/core,1
@storybook/addon-storysource,7
@storybook/react-webpack5,8
@storybook/test,6
@testing-library/cypress,7
@types/eslint,10
@types/react-test-renderer,35
cypress,24
cypress-real-events,6
eslint-config-react-app,18
eslint-plugin-cypress,7
eslint-plugin-flowtype,20
eslint-plugin-react,140
eslint-plugin-storybook,12
jest-watch-typeahead,6
react-test-renderer,94
replace-in-files,2
start-server-and-test,11
storybook,23
tsup,18
miniprogram-elder-transform,1
@floating-ui/dom,9
@lit/react,1
@shoelace-style/animations,1
@shoelace-style/localize,1
composed-offset-position,1
lit,5
qr-creator,1
@11ty/eleventy,5
@custom-elements-manifest/analyzer,6
@open-wc/testing,7
@types/mocha,11
@web/dev-server-esbuild,4
@web/test-runner,7
@web/test-runner-commands,1
@web/test-runner-playwright,4
bootstrap-icons,1
change-case,5
command-line-args,2
comment-parser,1
cspell,2
custom-element-jet-brains-integration,1
custom-element-vs-code-integration,1
custom-element-vuejs-integration,1
download,1
esbuild-plugin-replace,2
eslint-plugin-chai-expect,1
eslint-plugin-chai-friendly,2
eslint-plugin-lit,3
eslint-plugin-lit-a11y,1
eslint-plugin-sort-imports-es6-autofix,1
eslint-plugin-wc,2
front-matter,3
get-port,3
lunr,1
markdown-it-ins,1
markdown-it-kbd,1
markdown-it-mark,1
markdown-it-replace-it,1
npm-check-updates,2
pascal-case,3
plop,8
recursive-copy,2
sinon,37
smartquotes,1
source-map,2
strip-css-comments,1
user-agent-data-types,1
@gtm-support/vue-gtm,1
@vuestic/compiler,1
@vuestic/tailwind,1
chart.js,13
chartjs-chart-geo,1
epic-spinners,1
flag-icons,1
ionicons,2
medium-editor,1
pinia,11
register-service-worker,2
serve,9
vue-chartjs,1
vuestic-ui,1
@intlify/unplugin-vue-i18n,4
@storybook/addon-interactions,12
@storybook/blocks,10
@storybook/testing-library,5
@storybook/vue3,2
@storybook/vue3-vite,2
@types/medium-editor,1
tailwindcss,62
react-native,76
@babel/plugin-proposal-decorators,17
@eva-design/eva,1
@eva-design/material,1
@react-native-community/eslint-config,31
@tsconfig/react-native,6
@types/gulp,8
@types/gulp-replace,1
@types/lodash.merge,5
@types/react-native,39
@types/rimraf,3
coveralls,16
doc-prsr,2
eslint-config-akveo,1
eslint-plugin-react-native,11
gulp-typedoc,2
metro-react-native-babel-preset,26
react-native-svg,13
react-native-testing-library,3
@heroicons/react,8
@radix-ui/react-accordion,6
@radix-ui/react-alert-dialog,4
@radix-ui/react-avatar,6
@radix-ui/react-collapsible,3
@radix-ui/react-dialog,11
@radix-ui/react-dropdown-menu,9
@radix-ui/react-hover-card,2
@radix-ui/react-icons,6
@radix-ui/react-label,10
@radix-ui/react-popover,7
@radix-ui/react-scroll-area,6
@radix-ui/react-separator,5
@radix-ui/react-slot,10
@radix-ui/react-switch,6
@radix-ui/react-tabs,8
@radix-ui/react-toast,7
@radix-ui/react-tooltip,7
@t3-oss/env-nextjs,3
@types/lodash.template,1
canvas-confetti,2
class-variance-authority,11
clsx,20
cmdk,8
cobe,2
crisp-sdk-web,1
critters,2
framer-motion,24
geist,3
jotai,1
lodash.template,4
lucide-react,13
next,32
next-themes,11
octokit,4
posthog-js,2
react-day-picker,6
react-hook-form,13
react-icon-cloud,1
react-tweet,3
schema-dts,1
sonner,7
tailwind-merge,17
ts-morph,5
zod,16
@content-collections/cli,1
@content-collections/core,1
@content-collections/mdx,1
@content-collections/next,1
@tailwindcss/typography,13
@types/canvas-confetti,2
@types/unist,2
cssnano,23
eslint-config-next,23
eslint-plugin-tailwindcss,9
mdast-util-toc,2
rehype,1
rehype-autolink-headings,2
rehype-pretty-code,2
rehype-slug,3
remark-code-import,2
shiki,5
tailwindcss-animate,13
unist-builder,1
unist-util-visit,7
@angular/cdk,11
@ant-design/icons-angular,2
ngx-quicklink,1
@angular-devkit/build-angular,16
@angular-devkit/core,7
@angular-devkit/schematics,8
@angular-eslint/builder,6
@angular-eslint/eslint-plugin,8
@angular-eslint/eslint-plugin-template,6
@angular-eslint/schematics,6
@angular-eslint/template-parser,6
@angular/animations,14
@angular/cli,18
@angular/common,19
@angular/compiler,18
@angular/compiler-cli,18
@angular/core,20
@angular/forms,19
@angular/language-service,10
@angular/platform-browser,19
@angular/platform-browser-dynamic,18
@angular/platform-server,8
@angular/router,19
@angular/service-worker,3
@angular/ssr,5
@commitlint/config-angular,2
@schematics/angular,5
@types/d3,2
@types/less,3
@types/lodash.debounce,4
@types/parse5,1
@typescript-eslint/utils,3
cron-parser,1
d3,4
dagre,1
dagre-compound,1
detect-port,2
eslint-plugin-header,5
eslint-plugin-jsdoc,16
eslint-plugin-prefer-arrow,6
gulp-clean,8
html-minifier-terser,2
jasmine-spec-reporter,10
karma-coverage,22
karma-jasmine-html-reporter,13
karma-junit-reporter,3
karma-spec-reporter,8
karma-viewport,1
less-plugin-clean-css,3
lodash.debounce,12
monaco-editor,7
ng-packagr,10
node-prismjs,2
parse5,2
process,2
readline-sync,2
resolve-bin,2
rxjs,26
sitemap,3
yaml-front-matter,3
zone.js,18
@douyinfe/semi-site-banner,1
@douyinfe/semi-site-doc-style,1
@douyinfe/semi-site-header,1
@douyinfe/semi-site-markdown-blocks,1
@mdx-js/mdx,2
@mdx-js/react,10
@svgr/core,1
@types/react-window,5
@visactor/react-vchart,1
@visactor/vchart-semi-theme,1
aos,2
camelcase,3
chroma-js,4
copy-text-to-clipboard,2
css,2
debug,5
execa,15
fast-xml-parser,3
gatsby,4
gatsby-plugin-i18n,1
gatsby-plugin-mdx,1
gatsby-plugin-react-helmet,3
gatsby-plugin-remove-serviceworker,1
gatsby-plugin-svgr,1
gatsby-source-filesystem,3
grapheme-splitter,2
immutability-helper,4
memoize-one,6
normalize.css,6
prop-types,62
re-resizable,5
react-clipboard.js,1
react-dnd,8
react-dnd-html5-backend,8
react-helmet,9
react-infinite-scroller,1
react-inlinesvg,1
react-intl,5
react-lazyload,1
react-scroll-parallax,1
react-sortable-hoc,2
react-virtualized,3
reset-css,1
typeface-inconsolata,1
typeface-inter,1
unist-util-remove,2
wait-on,8
wcag-color,1
@actions/core,8
@actions/github,6
@babel/eslint-parser,27
@babel/eslint-plugin,2
@babel/preset-react,78
@cypress/code-coverage,3
@shopify/jest-dom-mocks,1
@storybook/addon-a11y,11
@storybook/addon-knobs,3
@storybook/addon-toolbars,3
@storybook/cli,3
@svgr/webpack,3
@types/classnames,4
@types/enhanced-resolve,1
@types/react-router-dom,5
@types/svgo,2
@types/webpack,3
babel-runtime,12
chromatic,10
crypto,2
cypress-plugin-tab,2
enzyme,27
enzyme-adapter-react-16,16
enzyme-to-json,13
eslint-config-jest-enzyme,1
eslint-plugin-semi-design,1
jest-date-mock,2
jest-enzyme,2
jest-mock-random,1
null-loader,3
progress-bar-webpack-plugin,5
react-dnd-cjs,1
react-storybook-addon-props-combinations,1
sha1,1
storybook-addon-turbo-build,1
svgo,9
body-scroll-lock,3
keycode,1
normalize-wheel,2
avoriaz,2
babel-cli,23
babel-helper-vue-jsx-merge-props,10
babel-plugin-syntax-jsx,12
