Configuração,Frequência
"('lib', 'ES2023')",1
"('types', '@dcloudio/types')",1
"('types', 'miniprogram-api-typings')",2
"('types', 'vue/jsx')",1
"('types', 'vitest')",1
"('types', 'prismjs')",1
"('lib', 'esnext.asynciterable')",1
"('lib', 'es2018.asyncgenerator')",1
"('lib', 'es2020.promise')",1
"('target', 'ES2021')",2
"('noImplicitOverride', True)",3
"('noPropertyAccessFromIndexSignature', True)",1
"('checkJs', False)",3
"('outDir', './types')",1
"('target', 'ES2015')",4
"('outDir', 'temp')",1
"('types', 'puppeteer')",1
"('isolatedDeclarations', True)",1
"('types', 'webpack-env')",2
"('importHelpers', False)",1
"('typeRoots', './@types')",1
"('outDir', 'commonjs')",1
"('rootDirs', 'src')",3
"('types', 'testing-library__jest-dom')",1
"('rootDirs', 'config')",1
"('typeRoots', './src/typings')",1
"('lib', 'ES2016')",1
"('forceConsistentCasingInFileNames', False)",1
"('noImplicitOverride', False)",1
"('noPropertyAccessFromIndexSignature', False)",1
"('module', 'ES2022')",2
"('types', 'jasmine')",2
"('outDir', './irrelevant/unused')",1
"('outDir', './lib/cjs/')",1
"('rootDir', './src/')",1
"('module', 'Node16')",2
"('composite', False)",1
"('preserveWatchOutput', True)",2
"('declarationDir', 'dist/types/')",1
"('outDir', './artifacts/ts')",1
"('declarationDir', './artifacts/ts.d')",1
"('declarationDir', './types')",1
"('types', 'vue')",2
"('lib', 'es7')",1
"('lib', 'es2017.object')",2
"('disableReferencedProjectLoad', True)",1
"('disableSourceOfProjectReferenceRedirect', True)",1
"('typeRoots', 'global.d.ts')",1
"('typeRoots', './src/types')",1
"('types', 'vuetify')",1
"('jsxImportSource', 'theme-ui')",1
"('types', 'element-plus/global')",1
"('lib', 'ES2016.Array.Include')",1
"('rootDirs', './src')",1
"('rootDirs', './tools')",1
"('lib', 'es2022')",1
"('module', 'preserve')",1
"('verbatimModuleSyntax', False)",1
"('inlineSourceMap', False)",1
"('outDir', 'esm')",1
"('rootDirs', 'stories')",1
"('moduleResolution', 'Node16')",1
"('module', 'ES2020')",1
"('lib', 'ES2015')",1
"('lib', 'webworker')",1
"('outDir', './dist/types')",1
"('strictBindCallApply', True)",1
