name,Plugins
akveo/react-native-ui-kitten,"['react', 'react-native', '@babel/core', '@babel/plugin-proposal-decorators', '@babel/runtime', '@eva-design/eva', '@eva-design/material', '@react-native-community/eslint-config', '@tsconfig/react-native', '@types/gulp', '@types/gulp-replace', '@types/jest', '@types/lodash.merge', '@types/react-native', '@types/react-test-renderer', '@types/rimraf', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'babel-jest', 'change-case', 'conventional-changelog-cli', 'coveralls', 'doc-prsr', 'eslint', 'eslint-config-akveo', 'eslint-plugin-react-native', 'gulp', 'gulp-typedoc', 'husky', 'jest', 'metro-react-native-babel-preset', 'react-native-svg', 'react-native-testing-library', 'react-test-renderer', 'rimraf', 'ts-node', 'typedoc', 'typescript']"
magicuidesign/magicui,"['@heroicons/react', '@radix-ui/react-accordion', '@radix-ui/react-alert-dialog', '@radix-ui/react-avatar', '@radix-ui/react-collapsible', '@radix-ui/react-dialog', '@radix-ui/react-dropdown-menu', '@radix-ui/react-hover-card', '@radix-ui/react-icons', '@radix-ui/react-label', '@radix-ui/react-popover', '@radix-ui/react-scroll-area', '@radix-ui/react-separator', '@radix-ui/react-slot', '@radix-ui/react-switch', '@radix-ui/react-tabs', '@radix-ui/react-toast', '@radix-ui/react-tooltip', '@t3-oss/env-nextjs', 'concurrently', '@types/lodash.template', 'autoprefixer', 'canvas-confetti', 'class-variance-authority', 'clsx', 'cmdk', 'cobe', 'crisp-sdk-web', 'critters', 'date-fns', 'framer-motion', 'geist', 'gray-matter', 'jotai', 'lodash.template', 'lucide-react', 'next', 'next-themes', 'octokit', 'postcss', 'posthog-js', 'react', 'react-day-picker', 'react-dom', 'react-hook-form', 'react-icon-cloud', 'react-tweet', 'schema-dts', 'sonner', 'tailwind-merge', 'ts-morph', 'zod', '@commitlint/cli', '@commitlint/config-conventional', '@content-collections/cli', '@content-collections/core', '@content-collections/mdx', '@content-collections/next', '@ianvs/prettier-plugin-sort-imports', '@tailwindcss/typography', '@types/canvas-confetti', '@types/node', '@types/react', '@types/react-dom', '@types/unist', 'cssnano', 'eslint', 'eslint-config-next', 'eslint-config-prettier', 'eslint-plugin-react', 'eslint-plugin-tailwindcss', 'husky', 'lint-staged', 'mdast-util-toc', 'npm-run-all', 'prettier', 'rehype', 'rehype-autolink-headings', 'rehype-pretty-code', 'rehype-slug', 'remark', 'remark-code-import', 'remark-gfm', 'rimraf', 'shiki', 'tailwindcss', 'tailwindcss-animate', 'tsx', 'typescript', 'unist-builder', 'unist-util-visit']"
NG-ZORRO/ng-zorro-antd,"['@angular/cdk', '@ant-design/icons-angular', 'date-fns', 'ngx-quicklink', '@angular-devkit/build-angular', '@angular-devkit/core', '@angular-devkit/schematics', '@angular-eslint/builder', '@angular-eslint/eslint-plugin', '@angular-eslint/eslint-plugin-template', '@angular-eslint/schematics', '@angular-eslint/template-parser', '@angular/animations', '@angular/cli', '@angular/common', '@angular/compiler', '@angular/compiler-cli', '@angular/core', '@angular/forms', '@angular/language-service', '@angular/platform-browser', '@angular/platform-browser-dynamic', '@angular/platform-server', '@angular/router', '@angular/service-worker', '@angular/ssr', '@commitlint/cli', '@commitlint/config-angular', '@ctrl/tinycolor', '@schematics/angular', '@stackblitz/sdk', '@types/d3', '@types/fs-extra', '@types/gulp', '@types/jasmine', '@types/less', '@types/lodash.debounce', '@types/node', '@types/parse5', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@typescript-eslint/utils', 'chalk', 'codecov', 'conventional-changelog-cli', 'cron-parser', 'cross-env', 'd3', 'dagre', 'dagre-compound', 'detect-port', 'eslint', 'eslint-config-prettier', 'eslint-plugin-header', 'eslint-plugin-import', 'eslint-plugin-jsdoc', 'eslint-plugin-prefer-arrow', 'eslint-plugin-prettier', 'fs-extra', 'gulp', 'gulp-clean', 'html-minifier-terser', 'husky', 'jasmine', 'jasmine-core', 'jasmine-spec-reporter', 'karma', 'karma-chrome-launcher', 'karma-coverage', 'karma-jasmine', 'karma-jasmine-html-reporter', 'karma-junit-reporter', 'karma-spec-reporter', 'karma-viewport', 'less', 'less-plugin-clean-css', 'less-plugin-npm-import', 'less-vars-to-js', 'lint-staged', 'lodash.debounce', 'marked', 'minimist', 'monaco-editor', 'ng-packagr', 'node-prismjs', 'parse5', 'postcss', 'prettier', 'prismjs', 'process', 'puppeteer', 'readline-sync', 'remark', 'resolve-bin', 'rxjs', 'sitemap', 'stylelint', 'stylelint-config-prettier', 'stylelint-config-rational-order', 'stylelint-config-standard', 'stylelint-declaration-block-no-ignored-properties', 'stylelint-order', 'terser', 'ts-node', 'tslib', 'typescript', 'yaml-front-matter', 'zone.js']"
DouyinFE/semi-design,"['@dnd-kit/modifiers', '@douyinfe/semi-site-banner', '@douyinfe/semi-site-doc-style', '@douyinfe/semi-site-header', '@douyinfe/semi-site-markdown-blocks', '@mdx-js/mdx', '@mdx-js/react', '@storybook/react-webpack5', '@svgr/core', '@types/react-window', '@visactor/react-vchart', '@visactor/vchart-semi-theme', 'aos', 'camelcase', 'chalk', 'chroma-js', 'classnames', 'copy-text-to-clipboard', 'cross-env', 'css', 'cypress-real-events', 'date-fns', 'debug', 'execa', 'fast-xml-parser', 'gatsby', 'gatsby-plugin-i18n', 'gatsby-plugin-mdx', 'gatsby-plugin-react-helmet', 'gatsby-plugin-remove-serviceworker', 'gatsby-plugin-svgr', 'gatsby-source-filesystem', 'grapheme-splitter', 'immutability-helper', 'jest-canvas-mock', 'lodash-es', 'memoize-one', 'normalize.css', 'prop-types', 'qs', 're-resizable', 'react', 'react-clipboard.js', 'react-dnd', 'react-dnd-html5-backend', 'react-dom', 'react-helmet', 'react-infinite-scroller', 'react-inlinesvg', 'react-intl', 'react-lazyload', 'react-resizable', 'react-router-dom', 'react-scroll-parallax', 'react-sortable-hoc', 'react-virtualized', 'reset-css', 'sass', 'typeface-inconsolata', 'typeface-inter', 'unist-util-remove', 'unist-util-visit', 'wait-on', 'wcag-color', '@actions/core', '@actions/github', '@babel/cli', '@babel/core', '@babel/eslint-parser', '@babel/eslint-plugin', '@babel/plugin-proposal-class-properties', '@babel/plugin-proposal-decorators', '@babel/plugin-proposal-object-rest-spread', '@babel/plugin-transform-runtime', '@babel/preset-env', '@babel/preset-react', '@babel/preset-typescript', '@babel/runtime', '@babel/types', '@commitlint/cli', '@commitlint/config-conventional', '@cypress/code-coverage', '@octokit/rest', '@shopify/jest-dom-mocks', '@storybook/addon-a11y', '@storybook/addon-actions', '@storybook/addon-knobs', '@storybook/addon-toolbars', '@storybook/cli', '@storybook/react', '@svgr/webpack', '@testing-library/react', '@types/classnames', '@types/enhanced-resolve', '@types/fs-extra', '@types/jest', '@types/lodash', '@types/lodash-es', '@types/node', '@types/react', '@types/react-dom', '@types/react-resizable', '@types/react-router-dom', '@types/svgo', '@types/webpack', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'axios', 'babel-core', 'babel-jest', 'babel-loader', 'babel-plugin-istanbul', 'babel-plugin-transform-require-context', 'babel-runtime', 'case-sensitive-paths-webpack-plugin', 'chromatic', 'crypto', 'css-loader', 'cypress', 'cypress-plugin-tab', 'enzyme', 'enzyme-adapter-react-16', 'enzyme-to-json', 'esbuild', 'esbuild-loader', 'eslint', 'eslint-config-jest-enzyme', 'eslint-plugin-import', 'eslint-plugin-jest', 'eslint-plugin-jsx-a11y', 'eslint-plugin-markdown', 'eslint-plugin-react', 'eslint-plugin-react-hooks', 'eslint-plugin-semi-design', 'fs-extra', 'glob', 'html-webpack-plugin', 'husky', 'jest', 'jest-date-mock', 'jest-enzyme', 'jest-mock-random', 'jsdom', 'lerna', 'lint-staged', 'marked', 'mini-css-extract-plugin', 'null-loader', 'postcss-loader', 'prettier', 'progress-bar-webpack-plugin', 'react-dnd-cjs', 'react-storybook-addon-props-combinations', 'rimraf', 'sass-loader', 'semver', 'sha1', 'sinon', 'storybook', 'storybook-addon-turbo-build', 'style-loader', 'stylelint', 'svgo', 'terser-webpack-plugin', 'ts-loader', 'typescript', 'webpack', 'webpack-cli', 'webpack-dev-server', 'webpackbar']"
museui/muse-ui,"['body-scroll-lock', 'dayjs', 'keycode', 'normalize-wheel', 'resize-observer-polyfill', '@commitlint/cli', '@commitlint/config-conventional', 'autoprefixer', 'avoriaz', 'babel-cli', 'babel-core', 'babel-eslint', 'babel-helper-vue-jsx-merge-props', 'babel-jest', 'babel-plugin-syntax-jsx', 'babel-plugin-transform-runtime', 'babel-plugin-transform-vue-jsx', 'babel-preset-env', 'babel-preset-es2015-rollup', 'babel-preset-stage-2', 'cssnano', 'eslint', 'eslint-config-vue', 'eslint-plugin-vue', 'husky', 'jest', 'jest-cli', 'jest-css-modules', 'jest-serializer-html', 'less', 'parcel-bundler', 'parcel-plugin-vue', 'postcss-import', 'postcss-modules', 'postcss-url', 'rimraf', 'rollup', 'rollup-plugin-babel', 'rollup-plugin-commonjs', 'rollup-plugin-node-resolve', 'rollup-plugin-postcss', 'rollup-plugin-replace', 'rollup-plugin-uglify', 'typeface-roboto', 'vue', 'vue-jest', 'vue-router', 'vue-template-compiler']"
akveo/nebular,"['@angular/animations', '@angular/cdk', '@angular/common', '@angular/compiler', '@angular/core', '@angular/fire', '@angular/forms', '@angular/platform-browser', '@angular/platform-browser-dynamic', '@angular/router', 'date-fns', 'docsearch.js', 'eva-icons', 'firebase', 'highlight.js', 'marked', 'moment', 'normalize.css', 'pace-js', 'rxfire', 'rxjs', 'tslib', 'zone.js', '@angular-devkit/build-angular', '@angular-devkit/core', '@angular-devkit/schematics', '@angular-eslint/builder', '@angular-eslint/eslint-plugin', '@angular-eslint/eslint-plugin-template', '@angular-eslint/schematics', '@angular-eslint/template-parser', '@angular/cli', '@angular/compiler-cli', '@angular/language-service', '@eslint/eslintrc', '@eslint/js', '@schematics/angular', '@types/gulp', '@types/highlight.js', '@types/jasmine', '@types/jasminewd2', '@types/node', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'angular-cli-ghpages', 'browserstack-local', 'colors.js', 'conventional-changelog-cli', 'del', 'doc-prsr', 'eslint', 'eslint-config-prettier', 'eslint-plugin-rxjs', 'fs-extra', 'globals', 'gulp', 'gulp-replace', 'gulp-sass', 'gulp-typedoc', 'husky', 'jasmine-core', 'jasmine-fail-fast', 'jasmine-spec-reporter', 'karma', 'karma-browserstack-launcher', 'karma-chrome-launcher', 'karma-coverage', 'karma-jasmine', 'karma-jasmine-html-reporter', 'lint-staged', 'ng-packagr', 'npm-run-all', 'prettier', 'protractor', 'rimraf', 'stylelint', 'stylelint-config-prettier', 'ts-node', 'typedoc', 'typescript']"
Lona/Lona,"['eslint', 'eslint-config-airbnb', 'eslint-config-prettier', 'eslint-plugin-import', 'eslint-plugin-jsx-a11y', 'eslint-plugin-prettier', 'eslint-plugin-react', 'lint-staged', 'pre-commit', 'prettier']"
creativetimofficial/material-kit,"['gulp', 'gulp-autoprefixer', 'gulp-clean', 'gulp-install', 'gulp-sass', 'gulp-sourcemaps', 'gulp-open', 'sass']"
ant-design-blazor/ant-design-blazor,"['antblazor.js-ts.tests', '@ant-design/colors', '@babel/core', '@commitlint/cli', '@commitlint/config-conventional', '@types/es6-promise', '@types/fs-extra', '@types/gulp', '@types/less', '@types/node', '@types/resize-observer-browser', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'antd-theme-generator', 'babel-core', 'babel-preset-es2015', 'babelify', 'browserify', 'chalk', 'eslint', 'eslint-config-semistandard', 'eslint-config-standard', 'eslint-plugin-import', 'eslint-plugin-n', 'eslint-plugin-promise', 'fs-extra', 'gulp', 'gulp-clean', 'gulp-clean-css', 'gulp-less', 'gulp-rename', 'gulp-sourcemaps', 'gulp-typescript', 'gulp-uglify', 'husky', 'inquirer', 'jquery', 'jsdom', 'less', 'less-plugin-clean-css', 'less-plugin-npm-import', 'less-vars-to-js', 'lint-staged', 'node-fetch', 'open', 'resolve-bin', 'simple-git', 'ts-node', 'tsify', 'typescript', 'vinyl-buffer', 'vinyl-source-stream']"
yeun/open-color,"['archiver', 'ase-utils', 'handlebars', 'typescript', 'uuid']"
