repo_name,total_unique_dependencies,total_unique_dev_dependencies,always_present_dependencies,always_present_dev_dependencies
iamfaiz_react-auth-ui_package_json_history,5,0,"react, react-dom, react-router-dom, react-scripts",
kor-ui_kor_package_json_history,1,9,,"webpack-cli, ts-loader, typescript, webpack, html-webpack-plugin, webpack-dev-server"
kanzitelli_expo-starter_package_json_history,39,23,"react, react-native, expo, expo-status-bar, react-dom, react-native-web","@types/react-dom, @types/react, typescript, @types/react-native, @babel/core"
momentum-design_momentum-ui_package_json_history,4,18,,lerna
nandorojo_expo-next-react-navigation_package_json_history,2,13,,
opentiny_tiny-vue_package_json_history,10,37,,"prettier, vite, vue, eslint, rimraf, lerna, lint-staged, @commitlint/config-conventional"
bareynol_mui-theme-creator_package_json_history,33,14,"react-helmet, gatsby-image, react, gatsby-source-filesystem, gatsby-plugin-react-helmet, gatsby, gatsby-transformer-sharp, gatsby-plugin-sharp, prop-types, react-dom, gatsby-plugin-manifest, gatsby-plugin-offline",prettier
Authman2_Mosaic_package_json_history,0,2,,
svbutko_react-native-template-strong_package_json_history,0,0,,
surveyjs_survey-creator_package_json_history,0,12,,
rcaferati_react-native-really-awesome-button_package_json_history,0,24,,
ayroui_bootstrap-ui-components_package_json_history,0,1,,sass
Equal-UI_Equal_package_json_history,9,33,,"vite, less, @vue/compiler-sfc"
FormidableLabs_spectacle_package_json_history,0,42,,
adobe_adobe-dx_package_json_history,4,31,@babel/runtime,"eslint-config-airbnb, eslint-plugin-import, eslint-plugin-react-hooks, less, css-loader, mini-css-extract-plugin, babel-loader, prettier-loader, webpack, less-loader, eslint-import-resolver-alias, @babel/plugin-transform-runtime, eslint, @babel/plugin-proposal-class-properties, eslint-plugin-jsx-a11y, prettier, eslint-plugin-react, babel-eslint, terser-webpack-plugin, eslint-config-prettier, optimize-css-assets-webpack-plugin, style-loader, eslint-loader, @babel/core, @babel/runtime-corejs3, @babel/preset-env, @babel/preset-react"
aclap-dev_jocly_package_json_history,0,24,,"merge-stream, gulp-add, through2, gulp-uglify, gulp-babel, browserify, gulp-debug, gulp-concat, gulp, gulp-if, gulp-rename, gulp-sourcemaps, jquery, vinyl-buffer, vinyl-source-stream, del"
system-ui_theme-specification_package_json_history,0,0,,
TanStack_table_package_json_history,0,30,,
