repo_name,total_unique_dependencies,total_unique_dev_dependencies,always_present_dependencies,always_present_dev_dependencies
vasturiano_globe.gl_package_json_history,6,12,"three-globe, three, three-render-objects, kapsule, accessor-fn","@babel/preset-env, @babel/core, rollup"
react-navigation_react-navigation_package_json_history,0,15,,"prettier, eslint-config-satya164, eslint, commitlint, typescript, @commitlint/config-conventional, jest"
BlazeSoftware_atoms_package_json_history,0,19,,
publiclab_PublicLab.Editor_package_json_history,20,13,"bootstrap, jquery, woofmark, bootstrap-datepicker","grunt, grunt-contrib-concat, grunt-contrib-watch, matchdep"
astrit_css.gg_package_json_history,0,0,,
necolas_react-native-web_package_json_history,0,35,,
lirongtong_miitvip-vue-admin-manager_package_json_history,18,60,"ant-design-vue, vue-router, axios, vue",vite
CorentinTh_it-tools_package_json_history,67,43,"vue, @vueuse/core, naive-ui, pinia, vue-router","prettier, @vitejs/plugin-vue, vitest, vite, @types/jsdom, eslint, @vitejs/plugin-vue-jsx, less, @types/node, jsdom, @rushstack/eslint-patch, @vue/test-utils, typescript, @vue/tsconfig"
AmitM30_react-native-typescript-boilerplate_package_json_history,6,35,"react, react-native, redux-thunk, redux, react-native-navigation, react-redux","babel-jest, react-test-renderer, eslint-plugin-react, eslint, eslint-watch, eslint-config-airbnb, eslint-plugin-import, jest, eslint-plugin-jsx-a11y, babel-eslint, babel-core, babel-preset-airbnb, babel-preset-react-native, metro-react-native-babel-preset, eslint-plugin-jest, regenerator-runtime"
Chocobozzz_PeerTube_package_json_history,99,61,"ws, config, morgan, multer, express-validator, winston, express","mocha, chai, supertest"
XboxYan_xy-ui_package_json_history,0,3,,
jpmorganchase_salt-ds_package_json_history,64,9,"react, @testing-library/cypress, axe-core, rifm, @storybook/addon-links, vite-tsconfig-paths, ag-grid-enterprise, @testing-library/dom, dom-accessibility-api, @types/tinycolor2, @cypress/code-coverage, vite, react-dom, @storybook/addon-docs, @storybook/react, typescript, @vitejs/plugin-react, prettier, ag-grid-community, cypress-real-events, @storybook/addon-actions, @storybook/addon-essentials, @types/react-color, @types/no-scroll, cypress, vite-plugin-istanbul, @types/react-dom, deepmerge, ag-grid-react, @types/node, @changesets/cli, cypress-axe, @types/react",
GetStream_slack-clone-react-native_package_json_history,31,10,"react, react-native, react-native-screens, react-native-document-picker, @react-navigation/drawer, @react-native-community/netinfo, react-native-gesture-handler, stream-chat-react-native, stream-chat, @stream-io/react-native-simple-markdown, @react-navigation/native, react-native-image-picker, @react-native-community/masked-view, react-native-safe-area-context","babel-jest, react-test-renderer, eslint, reactotron-react-native, @react-native-community/eslint-config, @babel/runtime, metro-react-native-babel-preset, @babel/core, jest"
felixpalmer_procedural-gl-js_package_json_history,0,12,,"eslint-config-mdcs, @rollup/plugin-node-resolve, rollup-plugin-root-import, uglify-es, eslint, @rollup/plugin-alias, rollup, rollup-plugin-visualizer, @rollup/plugin-sucrase, @rollup/plugin-replace, @rollup/plugin-commonjs, rollup-plugin-string"
react95-io_React95_package_json_history,0,70,,
ionicthemes_ionic4-starter-app-tutorial_package_json_history,13,25,"@angular/platform-browser, @ionic/angular, @angular/router, @ionic-native/core, @angular/common, rxjs, @angular/forms, core-js, @ionic-native/splash-screen, @ionic-native/status-bar, @angular/core, @angular/platform-browser-dynamic, zone.js","@angular/compiler, @types/jasmine, karma-chrome-launcher, @angular/language-service, @types/jasminewd2, @angular-devkit/core, @angular-devkit/schematics, ts-node, karma, jasmine-spec-reporter, jasmine-core, tslint, typescript, protractor, karma-coverage-istanbul-reporter, codelyzer, karma-jasmine, @angular-devkit/build-angular, karma-jasmine-html-reporter, @angular/compiler-cli, @types/node, @angular-devkit/architect, @angular/cli"
Lona_Lona_package_json_history,0,10,,"prettier, eslint-plugin-react, eslint, eslint-config-airbnb, eslint-plugin-import, eslint-plugin-prettier, eslint-plugin-jsx-a11y, lint-staged, eslint-config-prettier, pre-commit"
Semantic-Org_Semantic-UI-React_package_json_history,12,100,,
elementalui_elemental_package_json_history,3,17,,
nirsky_react-native-size-matters_package_json_history,0,4,,
sersavan_shadcn-multi-select-component_package_json_history,23,9,"react, react-dom, next","tailwindcss, eslint, @types/react-dom, @types/node, postcss, autoprefixer, eslint-config-next, typescript, @types/react"
RocketCommunicationsInc_astro_package_json_history,0,6,,lerna
tabler_tabler_package_json_history,3,56,,
wataru-maeda_react-native-boilerplate_package_json_history,29,17,"react, expo, react-native",
mdbootstrap_mdb-angular-ui-kit_package_json_history,13,15,,"@types/jasmine, @angular/compiler-cli, ts-node, @types/node, jasmine-spec-reporter, jasmine-core, tslint, typescript, @angular/cli"
nextui-org_nextui_package_json_history,0,83,,
plmok61_react-navigation-transitions_package_json_history,0,1,,
storybookjs_storybook_package_json_history,0,0,,
lmsqueezy_wedges_package_json_history,0,26,,"prettier, turbo"
flatlogic_react-material-admin_package_json_history,19,2,"react, react-dom, react-scripts",
solygambas_react-native-shopping-app_package_json_history,17,2,"react, react-native, react-navigation-stack, expo, react-dom, react-native-gesture-handler, react-native-reanimated, redux, react-navigation-header-buttons, react-native-web, react-navigation, expo-font, react-redux",babel-preset-expo
buefy_buefy_package_json_history,1,79,,"vue-template-compiler, css-loader, semver, webpack-merge, vue-router, babel-core, babel-loader, webpack, webpack-hot-middleware, file-loader, chalk, express, copy-webpack-plugin, vue-loader, connect-history-api-fallback, extract-text-webpack-plugin, html-webpack-plugin, babel-preset-env, friendly-errors-webpack-plugin, optimize-css-assets-webpack-plugin, http-proxy-middleware, url-loader, babel-preset-stage-2, rimraf, webpack-bundle-analyzer, eventsource-polyfill, sass-loader, babel-plugin-transform-runtime, babel-register"
payloadcms_payload_package_json_history,0,62,,
angular-material-extensions_password-strength_package_json_history,23,29,"@angular/compiler, @angular/platform-browser, @angular/router, @angular/animations, @angular/common, rxjs, @angular/forms, tslib, @angular/core, @angular/platform-browser-dynamic, zone.js","karma-chrome-launcher, @types/jasmine, @angular/language-service, @types/jasminewd2, ts-node, karma, jasmine-spec-reporter, jasmine-core, tslint, typescript, protractor, karma-coverage-istanbul-reporter, codelyzer, karma-jasmine, @angular-devkit/build-angular, karma-jasmine-html-reporter, @angular/compiler-cli, @types/node, @angular/cli"
evrone_postcss-px-to-viewport_package_json_history,1,2,object-assign,
youzan_zent_package_json_history,0,24,,
solana-nft-programs_staking-ui_package_json_history,48,20,"react, react-dom, next, @solana/web3.js","prettier, tailwindcss, eslint-plugin-react, eslint, @types/react-dom, @typescript-eslint/parser, @types/node, postcss, autoprefixer, babel-loader, typescript, prettier-plugin-tailwindcss, @types/react, webpack"
MarsX-dev_floatui_package_json_history,31,13,"react, react-dom, next",
ozntel_file-tree-alternative_package_json_history,9,20,,"@types/react-dom, @types/node, tslib, typescript, obsidian, @types/react"
gregnb_mui-datatables_package_json_history,18,59,"lodash.get, prop-types, lodash.memoize, lodash.merge","cross-env, eslint-plugin-import, jsdom, jsdom-global, mocha, babel-loader, coveralls, webpack, babel-plugin-transform-react-remove-prop-types, eslint, react-dom, rollup, ignore-styles, sinon, prettier, eslint-plugin-filenames, eslint-plugin-react, babel-eslint, enzyme, webpack-dev-server, nyc, chai, babel-plugin-istanbul"
alexanmtz_material-sense_package_json_history,15,0,"react-swipeable-views-utils, query-string, react, @material-ui/icons, gh-pages, react-dom, numeral, @material-ui/core, react-router-dom, @material-ui/lab, react-swipeable-views, react-scripts, recharts",
hsuanyi-chou_shadcn-ui-expansions_package_json_history,26,17,"react, clsx, react-dom, lucide-react, class-variance-authority, next, tailwindcss-animate, tailwind-merge","prettier, tailwindcss, @typescript-eslint/eslint-plugin, eslint, @types/react-dom, eslint-config-prettier, @types/node, postcss, autoprefixer, eslint-config-next, typescript, prettier-plugin-tailwindcss, @types/react"
owsolutions_angular5-iot-dashboard_package_json_history,39,15,,"@types/jasmine, @angular/compiler-cli, codelyzer, ts-node, typescript, @types/node, tslint, protractor, @angular/cli"
markmead_hyperui_package_json_history,3,20,"react, react-dom, next","eslint-config-next, eslint"
moja-global_FLINT-UI_package_json_history,0,5,,"cz-conventional-changelog, commitizen, @commitlint/config-conventional, @commitlint/cli, husky"
creativetimofficial_notus-nextjs_package_json_history,11,2,"gulp-append-prepend, tailwindcss, react, chart.js, gulp, react-dom, @popperjs/core, @fortawesome/fontawesome-free, react-scripts",
tableaunoir_tableaunoir_package_json_history,9,13,,"webpack-cli, clean-webpack-plugin, css-loader, ts-loader, typescript, copy-webpack-plugin, webpack"
fgr-araujo_vue-shortkey_package_json_history,2,19,,
eraeco_joy_package_json_history,1,0,,
Atyantik_react-pwa_package_json_history,1,3,,
htmlstreamofficial_preline_package_json_history,1,15,@popperjs/core,"source-map-loader, webpack-cli"
primefaces_primereact_package_json_history,15,38,,
formkit_auto-animate_package_json_history,0,37,,"typescript, @vitejs/plugin-vue, vite, vue"
DevCloudFE_ng-devui_package_json_history,21,51,"@angular/compiler, date-fns, @angular/platform-browser, @angular/router, @angular/animations, @angular/common, @angular/forms, @devui-design/icons, core-js, @angular/core, @angular/platform-browser-dynamic, zone.js","html-loader, @types/jasmine, karma-chrome-launcher, highlight.js, @angular/language-service, markdown-loader, @types/jasminewd2, ts-node, rxjs, clean-css-cli, karma, jasmine-spec-reporter, jasmine-core, typescript, protractor, karma-jasmine, @angular-devkit/build-angular, karma-jasmine-html-reporter, @angular/compiler-cli, @types/node, @angular/cli, ng-packagr, husky"
puti94_RNExample_package_json_history,25,6,"react-navigation, react, react-native","babel-jest, babel-preset-react-native, react-test-renderer, jest"
vidstack_player_package_json_history,0,19,,"prettier, typescript, rimraf"
wix_react-native-navigation_package_json_history,5,55,,
LeCoupa_vuedarkmode_package_json_history,2,20,,"pug, pug-plain-loader, node-sass, autoprefixer"
AudiusProject_hedgehog_package_json_history,6,10,"bip39, randombytes, safe-buffer, browserify-cipher, ethereumjs-wallet, node-localstorage","mocha, standard"
KevinVandy_material-react-table_package_json_history,0,2,,
uilibrary_matx-react_package_json_history,24,15,"react-perfect-scrollbar, date-fns, react, clsx, echarts, react-dom, lodash, echarts-for-react, autosuggest-highlight, react-router-dom, axios, notistack","cross-env, gh-pages, axios-mock-adapter"
hellof2e_quark-design_package_json_history,0,20,,"vue, ora, lerna, vue-router, shelljs, @commitlint/cli, husky"
atef-najar_react-native-shop-ui_package_json_history,8,4,"react-native-router-flux, react, react-native-drawer, react-native, react-native-snap-carousel, native-base, react-native-image-gallery, react-native-maps","babel-preset-react-native, babel-jest, react-test-renderer, jest"
ant-design_ant-design-web3_package_json_history,33,31,,"prettier, @umijs/fabric, eslint, father, @types/node, rimraf, @changesets/cli, lint-staged, @changesets/changelog-git, typescript, husky"
rdub80_aframe-gui_package_json_history,0,8,,
Trendyol_baklava_package_json_history,8,61,,"@storybook/addon-links, @typescript-eslint/eslint-plugin, eslint, @typescript-eslint/parser, @storybook/addon-actions, typescript, husky"
raunofreiberg_ui-playbook_package_json_history,26,3,"react, react-dom, next",
taiga-family_taiga-ui_package_json_history,0,43,,"@angular-devkit/build-angular, standard-version, @angular/compiler-cli, ts-node, @types/node, lint-staged, typescript, @angular/cli, ng-packagr, husky"
react-navigation_stack_package_json_history,2,30,,"prettier, eslint-config-satya164, react, react-native, @expo/vector-icons, react-test-renderer, eslint, react-dom, eslint-plugin-react-native-globals, husky, jest"
themesberg_flowbite_package_json_history,3,38,,"file-loader, webpack-cli, npm-run-all, postcss-loader, @babel/preset-env, css-loader, autoprefixer, babel-loader, mini-css-extract-plugin, core-js, source-map-loader, style-loader, webpack, @babel/core"
Tencent_weui_package_json_history,0,17,,"gulp-rename, gulp, yargs, gulp-replace, gulp-less"
mbrn_material-table_package_json_history,12,32,,
segmentio_ui-box_package_json_history,3,38,,"react, react-dom"
numandev1_react-native-bottomsheet-reanimated_package_json_history,0,24,,
DevExpress_devextreme-reactive_package_json_history,0,25,,lerna
slint-ui_slint_package_json_history,0,0,,
firebase_firebaseui-web_package_json_history,2,21,,"gulp-connect, firebase-tools, streamqueue, gulp-util, gulp-closure-compiler, google-closure-library, google-closure-compiler, google-closure-templates, gulp, gulp-concat-css, closure-builder, gulp-clean-css, protractor, gulp-sass"
wmira_react-sidenav_package_json_history,0,26,,react
xxxily_h5player_package_json_history,5,27,,"eslint-config-standard, eslint-plugin-import, eslint-plugin-promise, eslint"
filamentphp_filament_package_json_history,0,47,,
Pagedraw_pagedraw_package_json_history,114,23,"react, hopscotch, highlight.js, prop-types, multer, css-loader, blueimp-md5, aws-sdk, react-tooltip, uuid, webpack, coffeescript, forever, filepicker-js, file-loader, react-powerplug, semantic-ui-react, express, typescript, babel-runtime, babel-eslint, body-parser, request, style-loader, query-string, chai, url-loader, shell-escape, raf, json-hash, movie-quotes, escape-html, react-helmet, underscore, browser-detect, atob, eslint-plugin-flowtype, eslint-config-react-app, coffee-react, promise.prototype.finally, ncp, babel-preset-react-app, babel-core, safe-compare, eslint, react-dom, case-sensitive-paths-webpack-plugin, eslint-plugin-jsx-a11y, lodash, commondir, quill, newrelic, sw-precache-webpack-plugin, fs-extra, eslint-loader, crc64-ecma182, postcss-flexbugs-fixes, jquery, xxhashjs, webpack-manifest-plugin, dotenv, moment, react-dropzone, bplist-parser, fuzzysearch, stream-json, object-assign, react-dev-utils, leven, autoprefixer, tinycolor2, js-yaml, react-transition-group, webpack-dev-server, es6-promise-pool, path, postcss-loader, react-live, @blueprintjs/core, tar-stream, dotenv-expand, url, csv-string, react-color, eslint-plugin-import, cors, filendir, babel-loader, react-bootstrap, react-flip-move, create-react-class, react-infinite, chalk, morgan, jsondiffpatch, react-autosuggest, react-split-pane, async, extract-text-webpack-plugin, html-webpack-plugin, react-markdown, string.prototype.endswith, babel-jest, eslint-plugin-react, firebase, mkdirp, promise, whatwg-fetch, coffee-script, @stackblitz/sdk, nodemon, number-generator, jest","less, memory-fs, json-loader, mocha, madge, tree-kill, node-resemble-js, pagedraw-imports, progress, imagesloaded, null-loader, babel-preset-env, firebase-server, coffee-loader, cli-color, awesome-typescript-loader, raw-loader, cjsx-loader, surge, puppeteer, firebase-tools, diff, @types/react"
EasyDynamics_oscal-react-library_package_json_history,1,9,,
chatscope_chat-ui-kit-react_package_json_history,7,32,"@chatscope/chat-ui-kit-styles, prop-types, classnames, @fortawesome/react-fontawesome, @fortawesome/free-solid-svg-icons, @fortawesome/fontawesome-free, @fortawesome/fontawesome-svg-core","react, rollup-plugin-peer-deps-external, @semantic-release/git, @rollup/plugin-commonjs, babel-plugin-transform-react-remove-prop-types, @commitlint/cli, @semantic-release/github, eslint, react-dom, @babel/plugin-proposal-class-properties, eslint-plugin-jsx-a11y, rollup, rollup-plugin-terser, prettier, @rollup/plugin-node-resolve, eslint-plugin-react, @semantic-release/changelog, babel-eslint, @commitlint/config-conventional, @babel/core, @babel/preset-env, chokidar-cli, @rollup/plugin-babel, @babel/preset-react, @babel/cli, lint-staged, semantic-release, husky"
firebase_functions-samples_package_json_history,0,3,,eslint
influxdata_chronograf_package_json_history,0,8,,
appbaseio_reactivesearch_package_json_history,0,18,,"eslint-plugin-react, eslint, eslint-plugin-jsx-a11y, eslint-plugin-babel, husky"
jpush_aurora-imui_package_json_history,0,0,,
Tencent_QMUI_Web_package_json_history,39,3,"gulp-file-sync, path, gulp-plumber, gulp-load-plugins, gulp-file-include, gulp-rename, gulp-concat, gulp, imagemin-pngquant, gulp-imagemin, yargs, gulp-replace, js-md5, del",sassdoc
react-navigation_tabs_package_json_history,4,28,"react-native-tab-view, hoist-non-react-statics, react-lifecycles-compat","prettier, eslint-config-satya164, react, react-native, @expo/vector-icons, react-test-renderer, eslint, enzyme-adapter-react-16, flow-bin, babel-jest, jest, react-dom, enzyme-to-json, eslint-plugin-react-native-globals, enzyme"
wikimedia_design-codex_package_json_history,0,18,,
c8r_lab_package_json_history,7,0,"babel-register, react, react-dom, @compositor/logo, dxs, babel-preset-react, cxs",
tabler_tabler-icons_package_json_history,1,36,,
boltdesignsystem_bolt_package_json_history,29,1,,
redom_redom_package_json_history,0,8,,rollup
elastic_search-ui_package_json_history,0,22,,lerna
mohammad-mghn_wins-11_package_json_history,24,0,"react, @types/styled-components, styled-components, web-vitals, react-redux, react-dom, typescript, re-resizable, react-spring, @reduxjs/toolkit, @types/jest, foundation-sites, node-sass, @use-gesture/react, @types/react-dom, @testing-library/user-event, @types/node, sass, @testing-library/react, @testing-library/jest-dom, @types/react, react-scripts",
garbles_yolk_package_json_history,9,27,,
beekeeper-studio_beekeeper-studio_package_json_history,0,0,,
DeepNotesApp_DeepNotes_package_json_history,0,27,,"eslint-plugin-prettier, @commitlint/cli, eslint-plugin-vue, standard-version, eslint, ts-node, typescript, turbo, prettier, eslint-plugin-unused-imports, @typescript-eslint/eslint-plugin, @typescript-eslint/parser, tsconfig-paths, eslint-config-prettier, eslint-config-base, @commitlint/config-conventional, syncpack, ts-node-dev, tsc-alias, rimraf, concurrently, eslint-plugin-simple-import-sort, husky"
graphcommerce-org_graphcommerce_package_json_history,7,11,,
invertase_react-native-material-design_package_json_history,2,3,"react-native-material-design-styles, react-native-vector-icons","eslint, eslint-plugin-react, babel-eslint"
youzan_vant_package_json_history,0,6,,
unovue_shadcn-vue_package_json_history,0,11,,"@commitlint/cli, eslint, lint-staged, simple-git-hooks, @commitlint/config-conventional, @antfu/eslint-config"
segmentio_evergreen_package_json_history,17,76,prop-types,"prettier, url-loader, file-loader, eslint-plugin-react, babel-core, eslint-config-prettier, fs-extra"
elastic_eui_package_json_history,0,1,,
element-plus_element-plus_package_json_history,22,50,,
yiliansource_party-js_package_json_history,0,19,,
epicmaxco_vuestic-admin_package_json_history,19,30,"vue-router, vue",
adrianhajdin_brainwave_package_json_history,5,11,"react, react-router-dom, react-just-parallax, react-dom, scroll-lock","tailwindcss, vite, eslint-plugin-react, eslint, @types/react-dom, eslint-plugin-react-hooks, postcss, @types/react, autoprefixer, eslint-plugin-react-refresh, @vitejs/plugin-react"
reown-com_appkit_package_json_history,0,18,,
adrianhajdin_project_corona_tracker_package_json_history,12,6,"react, react-dom, @testing-library/user-event, @testing-library/react, @testing-library/jest-dom, react-scripts",
wle8300_uifx_package_json_history,0,11,,"babel-cli, chai, eslint-plugin-react, eslint, eslint-config-airbnb, isparta, babel-preset-es2015, babel-eslint, mocha, babel-core, babel-preset-stage-0"
fancyapps_ui_package_json_history,0,0,,
mdbootstrap_mdb-react-ui-kit_package_json_history,4,0,,
webpixels_css_package_json_history,0,20,,"postcss-cli, npm-run-all, purgecss, nodemon, sass, postcss, autoprefixer, serve"
epicmaxco_vuestic-ui_package_json_history,0,4,,
hirbod_react-native-volume-manager_package_json_history,0,20,,"prettier, react, react-native, eslint, react-native-builder-bob, @react-native-community/eslint-config, eslint-plugin-prettier, @types/jest, typescript, commitlint, @release-it/conventional-changelog, husky, eslint-config-prettier, @types/react, @commitlint/config-conventional, pod-install, release-it, jest"
mdbootstrap_mdb-vue-ui-kit_package_json_history,0,0,,
alibaba_weex_package_json_history,6,44,,serve
scottie1984_swagger-ui-express_package_json_history,1,6,,
dckiller51_lovelace-body-miscale-card_package_json_history,12,20,"@material/mwc-ripple, custom-card-helpers, home-assistant-js-websocket, lit","eslint-plugin-prettier, eslint-plugin-import, @rollup/plugin-json, rollup-plugin-typescript2, eslint, @babel/plugin-proposal-class-properties, rollup, rollup-plugin-commonjs, rollup-plugin-terser, typescript, prettier, @typescript-eslint/eslint-plugin, rollup-plugin-babel, @typescript-eslint/parser, @babel/plugin-proposal-decorators, rollup-plugin-serve, rollup-plugin-node-resolve, eslint-config-prettier, @babel/core, eslint-config-airbnb-base"
krasimir_react-in-patterns_package_json_history,2,0,,
microsoftgraph_microsoft-graph-toolkit_package_json_history,0,82,,
wangdahoo_vonic_package_json_history,9,20,vue,"url-loader, node-sass, cross-env, css-loader, babel-preset-es2015, babel-core, babel-loader, sass-loader, webpack, vue-loader, webpack-dev-server"
benevbright_react-navigation-collapsible_package_json_history,2,11,,
tailwindlabs_headlessui_package_json_history,0,19,,"typescript, tslib, @types/node, husky"
developit_htm_package_json_history,0,11,,"eslint, eslint-config-developit, microbundle, jest"
rdkcentral_Lightning_package_json_history,0,21,,
mrzachnugent_react-native-reusables_package_json_history,0,2,,typescript
shubhnik_redux-react-navigation-demos_package_json_history,5,4,"react, react-native, redux, react-navigation, react-redux","babel-preset-react-native, babel-jest, react-test-renderer, jest"
OnedocLabs_react-print-pdf_package_json_history,10,37,,"tsup, @swc/core, tsx, typescript, @types/react"
Kiranism_next-shadcn-dashboard-starter_package_json_history,62,8,"react, @radix-ui/react-label, @tanstack/react-table, @radix-ui/react-icons, uuid, tailwindcss-animate, @radix-ui/react-toast, clsx, @radix-ui/react-slider, eslint, react-dom, @radix-ui/react-slot, class-variance-authority, @radix-ui/react-dropdown-menu, typescript, next-themes, tailwindcss, zustand, @radix-ui/react-select, autoprefixer, eslint-config-next, @hookform/resolvers, recharts, tailwind-merge, sharp, react-hook-form, zod, @radix-ui/react-avatar, @types/react-dom, @types/node, lucide-react, postcss, next, @radix-ui/react-checkbox, @types/react, @radix-ui/react-popover, @radix-ui/react-tabs, @radix-ui/react-switch, @radix-ui/react-separator",
peggyrayzis_react-native-create-bridge_package_json_history,7,10,,"babel-core, babel-cli, babel-preset-env, jest"
fram-x_FluidTransitions_package_json_history,11,12,,
ant-design-blazor_ant-design-blazor_package_json_history,1,51,,"gulp-less, husky, gulp, gulp-clean-css"
GeekyAnts_NativeBase-KitchenSink_package_json_history,12,15,"react, react-native, native-base, lodash, color",
mrcrmn_docc_package_json_history,1,12,gridsome,"tailwindcss, node-sass, prism-themes, @gridsome/remark-prismjs, gridsome-plugin-tailwindcss, @gridsome/transformer-remark, @gridsome/source-filesystem, sass-loader, fuse.js"
piotrwitek_react-redux-typescript-guide_package_json_history,2,3,,
myliang_fish-ui_package_json_history,4,50,"moment, vue","vue-template-compiler, semver, babel-preset-es2015, css-loader, webpack-merge, babel-core, babel-loader, cssnano, babel-helper-vue-jsx-merge-props, webpack, eslint-plugin-html, opn, webpack-hot-middleware, babel-plugin-syntax-jsx, file-loader, chalk, eslint, eslint-plugin-promise, eslint-config-standard, express, copy-webpack-plugin, vue-loader, connect-history-api-fallback, extract-text-webpack-plugin, html-webpack-plugin, babel-preset-env, babel-eslint, autoprefixer, shelljs, friendly-errors-webpack-plugin, webpack-dev-middleware, optimize-css-assets-webpack-plugin, vue-style-loader, eslint-loader, http-proxy-middleware, url-loader, eslint-friendly-formatter, babel-preset-stage-2, babel-plugin-transform-vue-jsx, ora, rimraf, eslint-plugin-standard, webpack-bundle-analyzer, eventsource-polyfill, babel-plugin-transform-runtime, babel-register"
Nubescope_react-native-navigation-hooks_package_json_history,1,27,,
feathersui_feathersui-openfl_package_json_history,0,0,,
walljser_community_e_commerce_package_json_history,16,4,"react-native-tab-navigator, react, @expo/vector-icons, react-native, native-base, react-native-elements, expo, react-navigation, react-redux, redux-thunk, lodash, react-native-storage, redux, redux-logger, axios, react-native-vector-icons","babel-plugin-import, jest-expo, react-test-renderer, react-native-scripts"
jsuites_jsuites_package_json_history,0,17,,
Temzasse_react-modal-sheet_package_json_history,0,32,,"framer-motion, react, styled-components, @types/react-dom, react-dom, typescript, @types/react, husky"
siemens_ix_package_json_history,2,15,tslib,"prettier, typescript, execa"
bpatrik_pigallery2_package_json_history,21,87,express,
containers_podman-desktop_package_json_history,31,59,"dockerode, electron-updater, tar-fs","@types/dockerode, vite, vitest, @typescript-eslint/eslint-plugin, electron-builder, eslint, cross-env, @typescript-eslint/parser, postcss-import, electron-devtools-installer, dts-for-context-bridge, @rollup/plugin-commonjs, typescript, electron"
MohmmedAshraf_laravel-translations_package_json_history,0,46,,"tailwindcss, sass, postcss, autoprefixer, @tailwindcss/forms"
you-dont-need_You-Dont-Need-Lodash-Underscore_package_json_history,1,5,,
starters-dev_rn-starter_package_json_history,26,26,"react, react-native","@types/react-test-renderer, babel-jest, react-test-renderer, eslint, @react-native-community/eslint-config, @babel/runtime, @types/jest, metro-react-native-babel-preset, typescript, @types/react-native, @babel/core, jest"
udecode_plate_package_json_history,0,82,,"@types/prismjs, @types/lodash, @types/is-hotkey, eslint"
outpostHQ_numl_package_json_history,1,22,,"inline-assets, size-limit, rollup"
zzuu666_antue_package_json_history,3,46,,"vue-template-compiler, cross-env, less, css-loader, eslint-plugin-import, webpack-merge, vue-router, babel-core, babel-loader, webpack, less-loader, eslint-plugin-html, file-loader, eslint, eslint-plugin-promise, eslint-config-standard, vue-loader, html-webpack-plugin, babel-preset-env, vue, babel-eslint, autoprefixer, friendly-errors-webpack-plugin, optimize-css-assets-webpack-plugin, vue-style-loader, eslint-loader, webpack-dev-server, url-loader, eslint-friendly-formatter, babel-preset-stage-2, eslint-plugin-standard, eslint-plugin-node, babel-plugin-transform-runtime, babel-register"
aurelia_app-ux-showcase_package_json_history,11,33,"aurelia-animator-css, aurelia-bootstrapper, bluebird","through2, uglify-js, aurelia-testing, gulp-rename, aurelia-tools, aurelia-cli, gulp, vinyl-fs, typescript, minimatch"
guangqiang-liu_react-navigation-demo_package_json_history,10,4,"react, react-native","babel-preset-react-native, babel-jest, react-test-renderer, jest"
jesec_flood_package_json_history,0,151,,
GeekyAnts_react-native-aria_package_json_history,0,19,,"typescript, @types/react-native, @types/react"
react-native-picker_picker_package_json_history,0,31,,
DesignRevision_shards-ui_package_json_history,1,15,,"copyfiles, node-sass, postcss-cli, uglify-js, npm-run-all, nodemon, clean-css-cli, autoprefixer, sass-unused, webpack, sass-lint, browser-sync"
shannonhochkins_ha-component-kit_package_json_history,0,58,,"@storybook/addon-links, vite-tsconfig-paths, eslint-plugin-react-hooks, storybook, vite-plugin-linter, vite, eslint-plugin-storybook, eslint, @storybook/react, typescript, @vitejs/plugin-react, prettier, @storybook/blocks, @typescript-eslint/eslint-plugin, @typescript-eslint/parser, @storybook/react-vite, @storybook/addon-essentials, eslint-plugin-react-refresh, @types/lodash, @storybook/addon-interactions, @types/react-dom, @types/node, @types/react"
adrianhajdin_project_hoobank_package_json_history,2,7,"react, react-dom","tailwindcss, vite, postcss, autoprefixer, @vitejs/plugin-react, @types/react-dom, @types/react"
arwes_arwes_package_json_history,27,0,,
mblarsen_vue-browser-acl_package_json_history,1,13,browser-acl,"vue-template-compiler, vue"
vinibiavatti1_TuiCss_package_json_history,0,8,,"gulp-clean, gulp-copy, gulp-rename, gulp, gulp-clean-css, gulp-minify, gulp-sass"
winoteam_react-router-navigation_package_json_history,0,15,,
gabrielbull_react-desktop_package_json_history,1,24,,"chai, eslint-plugin-react, eslint, babel-eslint, mocha, babel-core, babel-loader, webpack, webpack-dev-server"
ShaifArfan_AYANs-portfolio_package_json_history,13,12,"react, react-dom, @testing-library/user-event, @testing-library/react, web-vitals, @testing-library/jest-dom, react-scripts",
dropbox_scooter_package_json_history,0,0,,
Clipteam_clipcc-gui_package_json_history,71,36,,"@babel/plugin-syntax-dynamic-import, eslint-plugin-import, babel-core, babel-loader, webpack, selenium-webdriver, @babel/plugin-proposal-object-rest-spread, web-audio-test-api, webpack-cli, eslint, react-test-renderer, @babel/plugin-transform-async-to-generator, eslint-plugin-react, jest-junit, babel-eslint, mkdirp, eslint-plugin-jest, redux-mock-store, @babel/core, webpack-dev-server, enzyme, raf, @babel/preset-env, eslint-config-scratch, rimraf, eslint-import-resolver-webpack, @babel/preset-react, @babel/cli, jest"
microsoft_fluentui_package_json_history,1,320,,
stackworx_formik-mui_package_json_history,4,38,,"@storybook/addon-links, @storybook/react, @storybook/addon-actions"
Voxelum_x-minecraft-launcher_package_json_history,0,0,,
roninoss_create-expo-stack_package_json_history,6,17,,"prettier, @typescript-eslint/eslint-plugin, eslint, @typescript-eslint/parser, typescript, eslint-config-prettier"
